,company_name,location,layoff_date,employees_affected,Phone Number,Zip Code,Address,Contact Name,Layoff Type,Union Representation
2011,Bnc Mortgage,Fulton,08/23/2007,123,,30022,,,,
2012,"Greenpoint Mortgage Funding, Inc",Fulton,08/27/2007,51,,31904,,,,
2013,Standard Refrigeration,Newton,08/27/2007,25,,30016,,,,
2014,Earthlink,Fulton,08/28/2007,527,,30309,,,,
2015,"Alcoa Tifton Aluminum Company,inc",Tift,08/30/2007,200,,31793,,,,
2016,Mohawk Industries,Whitfield,09/04/2007,65,,30720,,,,
2017,Mohawk Industries,Towns,09/04/2007,55,,30546,,,,
2018,Mohawk Industries,Gordon,09/04/2007,150,,30701,,,,
2019,Travelcenters Of America,Dekalb,09/05/2007,58,,30288,,,,
2020,Lasco Bathware,Crisp,09/06/2007,105,,31015,,,,
2021,Shaw Industries,Ben Hill,09/07/2007,556,,31750,,,,
2022,Cavalier Home Builders,Jenkins,09/10/2007,199,,30422,,,,
2023,H D Supply,Butts,09/12/2007,103,,30233,,,,
2024,Rockwell Automation,Laurens,09/13/2007,87,,31021,,,,
2025,Fry's Metals Inc Dba Alpha Metals Inc,Fulton,09/17/2007,9,,30005,,,,
2026,"O'sullivan Industries, Inc.",Fulton,09/17/2007,45,,30076,,,,
2027,Citi Mortgage,Fulton,09/17/2007,20,,30350,,,,
2028,Best Textiles International,Crisp,09/27/2007,43,,31015,,,,
2029,Indymac Resources,Gwinnett,09/27/2007,91,,30092,,,,
2030,Weyerhaeuser Co,Madison,10/02/2007,82,,30628,,,,
2031,Simonton Windows,Toombs,10/03/2007,182,,30436,,,,
2032,Suntrust,Fulton,10/03/2007,300,,30308,,,,
2033,Dillard's,Richmond,10/05/2007,107,,30909,,,,
2034,Unarco,Cherokee,10/09/2007,136,,30102,,,,
2035,Tsys Debt Management Inc,Gwinnett,10/12/2007,15,,30071,,,,
2036,"S. Lichtenberg & Co., Inc",Burke,10/19/2007,58,,30830,,,,
2037,Sun Microsystems,Fulton,10/22/2007,22,,30005,,,,
2038,"Craven, Inc",Jackson,10/24/2007,82,,30529,,,,
2039,Mi Windows And Doors Inc,Jenkins,10/31/2007,200,,30442,,,,
2040,"Mccorkle Nurseries, Inc",Mcduffie,11/01/2007,58,,30808,,,,
2041,Thomasville Home Furnishings,Thomas,11/02/2007,70,,31792,,,,
2042,Harland Regional Printing Facility,Dekalb,11/06/2007,104,,30035,,,,
2043,Legacy Marketing Group,Floyd,11/06/2007,64,,30165,,,,
2044,"Peachtree Doors And Windows,inc.",Hall,11/30/2007,200,,30501,,,,
2045,Intermet/columbus Foundry,Muscogee,12/03/2007,83,,31904,,,,
2046,Ken-bar Mfg. & Distribution Co.,Habersham,12/03/2007,15,,30511,,,,
2047,Certainteed Corporation,Walton,12/10/2007,125,,30025,,,,
2048,Hd Supply Plumbing,Gwinnett,12/11/2007,80,,30043,,,,
2049,Weyerhaeuser Company,Lowndes,12/20/2007,245,,31601,,,,
2050,Levitt And Sons,Cherokee,12/27/2007,47,,30114,,,,
2051,Burlen Corporation/workstaff,Tift,01/05/2006,100,,31793,,,,
2052,Photocircuits Corporation,Fayette,01/13/2006,44,,30269,,,,
2053,Chemical Products Corporation,Bartow,01/19/2006,17,,30120,,,,
2054,Goody Product Company,Meriwether,01/23/2006,100,,31816,,,,
2055,Charbroil,Muscogee,01/24/2006,950,,31904,,,,
2056,Homeowners Loan Corporation,Cobb,01/26/2006,148,,30339,,,,
2057,Federal Aviation Administration Se,Fulton,01/27/2006,18,,30337,,,,
2058,"Fibrex,llc Formerly Wellington Cordage",Morgan,01/30/2006,24,,30650,,,,
2059,Lear Corporation,Clayton,02/03/2006,214,,30354,,,,
2060,"Delta Air Lines, Inc.",Clayton,02/03/2006,600,,30320,,,,
2061,Media Play,Clayton,02/06/2006,25,,30260,,,,
2062,Media Play,Cobb,02/06/2006,28,,30144,,,,
2063,Media Play,Fulton,02/06/2006,25,,30022,,,,
2064,"After, Six",Clarke,02/13/2006,10,,30603,,,,
2065,Uti Integrated Logistics Thd Facility,Fulton,02/15/2006,88,,30315,,,,
2066,H&r Block Mortgage Corporation,Cobb,02/23/2006,90,,30067,,,,
2067,Propex Fabrics,Cobb,02/27/2006,50,,30168,,,,
2068,"Wheland Foundry,llc",Warren,02/27/2006,105,,30828,,,,
2069,"Siemens Energy & Automation, Inc.",Dekalb,02/28/2006,157,,30084,,,,
2070,Cenveo,Fulton,03/01/2006,99,,30354,,,,
2071,Winn Dixie Store #71,Tift,03/01/2006,69,,31794,,,,
2072,Winn Dixie Store #149,Crisp,03/01/2006,65,,31015,,,,
2073,King Provision,Carroll,03/01/2006,130,,30180,,,,
2074,Oxford Slacks,Walton,03/03/2006,100,,30656,,,,
2075,Savannah Electric,Chatham,03/03/2006,84,,31402,,,,
2076,Morse Automotive Corporation,Bartow,03/13/2006,90,,30120,,,,
2077,Royal Cord,Upson,03/14/2006,60,,30286,,,,
2078,West Point Stevens Corporate,Troup,03/20/2006,16,,31833,,,,
2079,"Frontier Spinning Mills, Llc.",Muscogee,03/20/2006,215,,31901,,,,
2080,"J.h. Harvey Co., Llc",Berrien,03/20/2006,180,,31639,,,,
2081,"Rabun Apparel, Inc.",Rabun,03/21/2006,930,,30568,,,,
2082,Schwan's Global Supply Chain Inc,Dekalb,03/22/2006,150,,30084,,,,
2083,Tredegar Film Products Corporation,Troup,03/28/2006,76,,30240,,,,
2084,Ford Motor Company,Fulton,04/11/2006,1652,,30354,,,,
2085,Grady Health System,Fulton,04/14/2006,30,,30303,,,,
2086,Golden State Foods Corp.,Rockdale,04/14/2006,150,,30013,,,,
2087,Ford Motor Credit Company,Fulton,04/17/2006,75,,30328,,,,
2088,Georgia Pacific,Chatham,04/18/2006,192,,31402,,,,
2089,"Orix Usa, Lp",Cobb,04/26/2006,64,,30144,,,,
2090,Georgia Tenn. Mining Co.,Jefferson,04/27/2006,36,,30833,,,,
2091,"Avondale Mills, Inc",Walton,04/27/2006,98,,30655,,,,
2092,"Avondale Mills, Inc",Richmond,04/28/2006,116,,30904,,,,
2093,Simmons,Fulton,05/01/2006,56,,30318,,,,
2094,Pride Mfg.,Bulloch,05/02/2006,14,,30450,,,,
2095,Fiskars Royal Floor Mats,Gordon,05/03/2006,82,,30701,,,,
2096,Guardsmark Llc,Bibb,05/03/2006,30,,31201,,,,
2097,"Mount Vernon Mills, Inc.",Chattooga,05/15/2006,107,,30753,,,,
2098,Oliver Rubber Company,Clarke,05/22/2006,145,,30601,,,,
2099,"Three Springs, Inc. Of Blue Ridge",Fannin,05/22/2006,33,,30513,,,,
2100,Suntrust Banks Inc.,Fulton,05/23/2006,28,,30303,,,,
2101,"Springs Industries, Inc.",Hart,05/24/2006,340,,30643,,,,
2102,Ryerson Inc.,Fulton,05/24/2006,49,,30331,,,,
2103,Smiths Medical,Gwinnett,05/31/2006,50,,30096,,,,
2104,"Avondale Mills, Inc.",Tift,05/31/2006,89,,31794,,,,
2105,"Avondale Mills, Inc.",Walton,05/31/2006,8,,30655,,,,
2106,"Augusta Sportswear, Inc.",Columbia,06/07/2006,60,,30813,,,,
2107,Smurfit-stone Container Corp,Fulton,06/07/2006,89,,30318,,,,
2108,Alcoa Wireless Services,Forsyth,06/12/2006,80,,30004,,,,
2109,Nanston Dental Lab,Gwinnett,07/05/2006,14,,30093,,,,
2110,Dunkin Donuts Southeast Distribution Center,Henry,07/05/2006,101,,30253,,,,
2111,Friedman's Inc,Chatham,07/10/2006,156,,31406,,,,
2112,Bb&t Corporation,Newton,07/13/2006,77,,30014,,,,
2113,Hexcel Reinforcements Corporation (hexcel Schwebel),Wilkes,07/19/2006,104,,30673,,,,
2114,Jockey International Inc,Jenkins,07/19/2006,203,,30442,,,,
2115,"I H Services, Inc.",Rabun,07/27/2006,11,,30568,,,,
2116,Acco Brands Usa Llc,Fulton,08/07/2006,79,,30336,,,,
2117,Rdi Marketing Services,Fulton,08/10/2006,62,,30309,,,,
2118,"Multy Industries, Inc.",Fulton,08/14/2006,140,,30336,,,,
2119,"Florida Tile, Incorporated",Floyd,08/14/2006,130,,30172,,,,
2120,"Shaw Industries Group, Inc.",Tift,08/15/2006,228,,31793,,,,
2121,Millipore Corporation,Gwinnett,08/15/2006,55,,30071,,,,
2122,National Linen And Uniform Service,Dekalb,08/15/2006,65,,30340,,,,
2123,Johnson Controls Inc.,Forsyth,08/17/2006,139,,30024,,,,
2124,Johnson Controls Inc,Gwinnett,08/17/2006,38,,30092,,,,
2125,"The R&r Manufacturing Co.,inc",Barrow,08/21/2006,30,,30011,,,,
2126,Toombs Apparel,Toombs,08/28/2006,50,,30436,,,,
2127,Epi Companies,Whitfield,08/31/2006,57,,30720,,,,
2128,The Home Depot,Fulton,08/31/2006,267,,30339,,,,
2129,Crane Plumbing,Walton,09/06/2006,262,,30655,,,,
2130,Swift Galey Midland/sixth Avenue,Muscogee,09/06/2006,800,,31902,,,,
2131,Coloplast,Cobb,09/06/2006,96,,30062,,,,
2132,Milliken And Company,Stephens,09/08/2006,30,,30577,,,,
2133,Ashley Furniture Warehouse,Gwinnett,09/18/2006,44,,30093,,,,
2134,Oxford Slacks Of Monroe,Walton,09/22/2006,59,,30656,,,,
2135,Tenneco Automotive,Hart,09/27/2006,74,,30643,,,,
2136,Omni Insurance Group,Fulton,09/28/2006,58,,30339,,,,
2137,"Storehouse, Inc",Dekalb,10/10/2006,73,,30341,,,,
2138,Alsco's,Chatham,10/13/2006,71,,31405,,,,
2139,Presto,Cobb,10/13/2006,46,,30066,,,,
2140,"Dendrite International, Inc",Gwinnett,10/16/2006,60,,30071,,,,
2141,Rsm Employer Services,Fulton,10/20/2006,109,,30022,,,,
2142,"Three Springs, Inc",Wayne,11/01/2006,33,,31545,,,,
2143,"Norcom, Inc",Gwinnett,11/01/2006,72,,30071,,,,
2144,Morse Automotive Corporation,Bartow,11/03/2006,240,,30120,,,,
2145,Woodbridge,Dekalb,11/07/2006,29,,30058,,,,
2146,Shaw Industries Group Inc.,Whitfield,11/07/2006,18,,30720,,,,
2147,Guardian Automotive Corporation,Troup,11/08/2006,106,,30240,,,,
2148,Steed Co,Carroll,11/16/2006,11,,30108,,,,
2149,Infinity,Fulton,11/22/2006,320,,30022,,,,
2150,Allstate Insurance Company,Cobb,11/27/2006,48,,30339,,,,
2151,"Academic Book Services, Inc.",Bartow,11/28/2006,91,,30120,,,,
2152,Alsco,Bibb,11/28/2006,85,,31217,,,,
2153,Hca Shared Services -- Southeast Division,Clayton,11/28/2006,57,,30297,,,,
2154,Northlake Medical Center,Dekalb,12/05/2006,346,,30084,,,,
2155,"Springs Global Us, Inc.",Gordon,12/06/2006,324,,30701,,,,
2156,Belk Store # 618 (parisian),Muscogee,12/14/2006,110,,31909,,,,
2157,Delta Mills Inc.,Dekalb,12/18/2006,1,,30338,,,,
2158,Merck,Dougherty,12/20/2006,273,,31705,,,,
2159,West Point Administrative Office,Troup,12/21/2006,75,,31833,,,,
2160,Holiday Inn - Carter Commercial,Fulton,12/21/2006,66,,30318,,,,
2161,Collins & Aikman Corp,Sumter,12/28/2006,350,,31709,,,,
2162,Lord And Taylor,Fulton,01/04/2005,65,,30022,,,,
2163,Lowell Packing,Tift,01/05/2005,80,,31750,,,,
2164,Northeast Georgia Health System,Hall,01/13/2005,67,,30501,,,,
2165,"Alexis Playsafe, Inc. - A Warren Featherbone Company",Hall,01/14/2005,40,,30501,,,,
2166,"Alexis Playsafe, Inc",Hall,01/18/2005,100,,30501,,,,
2167,Air Gate Pcs,Fulton,01/18/2005,60,,30303,,,,
2168,Avery Dennison,Hall,01/19/2005,174,,30542,,,,
2169,"Siemens Energy & Automation, Inc.",Dekalb,01/20/2005,44,,30084,,,,
2170,"Usa Labs, Inc",Muscogee,01/24/2005,41,,31907,,,,
2171,"Vercuity, Inc.",Hall,01/24/2005,54,,30501,,,,
2172,"Samson Mfg., Div.-s.lichtenberg & Co.",Burke,01/31/2005,65,,30830,,,,
2173,At&t,Cobb,02/03/2005,351,,30060,,,,
2174,"Springs Industries, Inc.",Spalding,02/03/2005,300,,30223,,,,
2175,"Springs Industries, Inc.",Hart,02/03/2005,308,,30643,,,,
2176,Gate Gourmet,Fulton,02/04/2005,200,,30334,,,,
2177,Saddle Creek Corporation,Fulton,02/09/2005,81,,30315,,,,
2178,"Cendian Chemical Logistics, Corp Headquarters",Fulton,02/11/2005,70,,30328,,,,
2179,Bank Of America Fulfillment Imaging Division,Fulton,02/11/2005,130,,30337,,,,
2180,Mclane Food Service Distribution,Fulton,02/11/2005,130,,30329,,,,
2181,Lapp Insulator Company,Washington,02/23/2005,70,,31082,,,,
2182,Robert Bosch Tool Corporation,Stephens,02/23/2005,145,,30538,,,,
2183,Marshalls/marmaxx,Henry,02/23/2005,140,,30253,,,,
2184,Galileo International/a Cendant Company,Fulton,03/18/2005,68,,30346,,,,
2185,"Wescast Industries, Inc.",Crisp,03/21/2005,222,,31015,,,,
2186,Irwin Manufacturing Corporation,Tift,03/25/2005,100,,31774,,,,
2187,Associated Rubber Company,Haralson,03/30/2005,19,,30176,,,,
2188,Sitel Risk Management,Gwinnett,03/31/2005,157,,30092,,,,
2189,The Tog Shop/gertrude Davenport,Sumter,03/31/2005,33,,31710,,,,
2190,Wachovia Corporation,Cobb,04/05/2005,96,,30067,,,,
2191,Suntrust,Fulton,04/11/2005,122,,30302,,,,
2192,Cooper Industries,Gwinnett,04/12/2005,80,,30092,,,,
2193,Olsonite,Coweta,04/15/2005,87,,30263,,,,
2194,"Augusta Sportswear, Inc",Columbia,04/18/2005,37,,30813,,,,
2195,Hutcheson Medical Center,Catoosa,04/19/2005,42,,30742,,,,
2196,"Pentafab, Inc.",Whitfield,04/19/2005,79,,30722,,,,
2197,Nakanishi Manufacturing Corporation,Clarke,04/19/2005,24,,30683,,,,
2198,Barrow Manufacturing Company,Barrow,04/19/2005,40,,30683,,,,
2199,"Delta Air Lines, Inc.",Clayton,04/19/2005,457,,30320,,,,
2200,Thomson Oak Flooring Company,Mcduffie,04/20/2005,83,,30824,,,,
2201,Zodiac American Pools & Spas,Liberty,04/20/2005,48,,31320,,,,
2202,Jcpenney-cumberland Mall,Cobb,04/20/2005,132,,30339,,,,
2203,Kmc Telecom,Gwinnett,04/27/2005,245,,30043,,,,
2204,St. Joseph Hospital,Richmond,05/02/2005,100,,30904,,,,
2205,Victory Charter School,Fulton,05/03/2005,50,,30344,,,,
2206,City Of Lithonia,Dekalb,05/03/2005,9,,30058,,,,
2207,Kellogg's Keebler Company Macon Bakery,Bibb,05/04/2005,402,,31214,,,,
2208,Motorola,Gwinnett,05/04/2005,97,,30043,,,,
2209,Lat Sportswear,Crawford,05/04/2005,47,,31202,,,,
2210,Verizon Supply Chain Services,Gwinnett,05/05/2005,58,,30029,,,,
2211,"Dana Undies, Inc.",Early,05/10/2005,165,,39823,,,,
2212,Kroger City Plaza,Fulton,05/10/2005,28,,30303,,,,
2213,Lason,Cobb,05/10/2005,26,,30067,,,,
2214,Bantek,Cobb,05/10/2005,75,,30067,,,,
2215,Technicon Engineering,Bibb,05/13/2005,3,,21201,,,,
2216,Prestolite Wire Company,Tift,05/17/2005,19,,31794,,,,
2217,Springs Industries/gfp,Spalding,05/17/2005,4,,30223,,,,
2218,Springs Industries/gac,Spalding,05/17/2005,4,,30223,,,,
2219,Springs Industries/plant 1,Spalding,05/17/2005,4,,30223,,,,
2220,"Victor Forstmann, Inc.",Laurens,05/23/2005,159,,31040,,,,
2221,"American Glove Company, Inc.",Chattooga,06/01/2005,25,,30730,,,,
2222,Ecg/gracewood-dhr,Richmond,06/03/2005,48,,30906,,,,
2223,Crane Plumbing,Greene,06/13/2005,55,,30669,,,,
2224,Makita Corporation Of America,Gwinnett,06/14/2005,163,,30518,,,,
2225,Simmons Company,Fulton,06/15/2005,0,,30328,,,,
2226,General Motors Acceptance Corporation,Gwinnett,06/15/2005,41,,30096,,,,
2227,Cenveo,Fulton,06/15/2005,60,,30336,,,,
2228,Save Rite Store #2703,Fulton,06/21/2005,120,,30311,,,,
2229,Winn Dixie Store #1807,Troup,06/21/2005,88,,30240,,,,
2230,Winn Dixie Store #1806,Hall,06/21/2005,100,,30501,,,,
2231,"Deep South Products, Inc",Ben Hill,06/21/2005,236,,31750,,,,
2232,Winn Dixie Store #10,Evans,06/21/2005,70,,30417,,,,
2233,Winn Dixie-atlanta Distribution Center,Fulton,06/21/2005,260,,30336,,,,
2234,Ruan Transport Corporation,Fulton,06/27/2005,225,,30316,,,,
2235,Alcoa-reynolds Food Packaging,Morgan,06/30/2005,106,,30650,,,,
2236,"Soft Sheen Carson A.k.a. L'oreal Usa Products, Inc.",Chatham,06/30/2005,37,,31407,,,,
2237,"Soft Sheen Carson A.k.a. L'oreal Usa Products, Inc.",Chatham,06/30/2005,129,,31405,,,,
2238,"Nci Building Systems, L.p.",Haralson,07/01/2005,60,,30176,,,,
2239,"Siemens Energy & Automation, Inc.",Dekalb,07/14/2005,62,,30084,,,,
2240,At & T,Fulton,07/15/2005,90,,30005,,,,
2241,"Earthlink, Inc",Fulton,07/18/2005,185,,30309,,,,
2242,Lat Sportswear,Crawford,07/21/2005,51,,31078,,,,
2243,Swift Denim,Muscogee,07/25/2005,200,,31902,,,,
2244,"Rhodes Furniture, Inc.",Dekalb,07/25/2005,68,,30319,,,,
2245,"Rhodes Furniture, Inc.",Cobb,07/25/2005,86,,30127,,,,
2246,"Rhodes Furniture, Inc.",Cobb,07/25/2005,69,,30127,,,,
2247,Meritas Yarns,Muscogee,07/26/2005,44,,31906,,,,
2248,"Maximus, Inc.",Fulton,07/27/2005,58,,30303,,,,
2249,Mci,Fulton,08/05/2005,587,,30005,,,,
2250,"Astro Dye Works - Meridian Industries, Inc.",Gordon,08/08/2005,65,,30701,,,,
2251,"Bobs Candies, Inc. - A.k.a. Farley's & Sathers Candy Company, Inc.",Dougherty,08/11/2005,236,,31706,,,,
2252,Save Rite Store #2706,Cobb,08/16/2005,49,,30127,,,,
2253,Winn Dixie Store #1872,Walton,08/16/2005,45,,30655,,,,
2254,Winn Dixie Store #408,Washington,08/16/2005,50,,31082,,,,
2255,Save Rite Store #2717,Cobb,08/16/2005,45,,30168,,,,
2256,Save Rite Store #2727,Douglas,08/16/2005,43,,30135,,,,
2257,Save Rite Store #2720,Gwinnett,08/16/2005,53,,30071,,,,
2258,Save Rite Store #2740,Gwinnett,08/16/2005,44,,30093,,,,
2259,Save Rite Store #2701,Henry,08/17/2005,48,,30281,,,,
2260,Save Rite Store #2707,Henry,08/17/2005,48,,30253,,,,
2261,Save Rite Store #2728,Henry,08/17/2005,45,,30281,,,,
2262,Winn Dixie Store #1998,Troup,08/17/2005,56,,30240,,,,
2263,Winn Dixie Store #147,Bulloch,08/17/2005,62,,30458,,,,
2264,Save Rite Store #2704,Rockdale,08/17/2005,52,,30013,,,,
2265,Save Rite Store #2710,Rockdale,08/17/2005,47,,30013,,,,
2266,Save Rite Store #2724,Rockdale,08/17/2005,70,,30012,,,,
2267,Winn Dixie Store #1860,Whitfield,08/17/2005,51,,30721,,,,
2268,Save Rite Store #2721,Cherokee,08/17/2005,32,,30188,,,,
2269,Save Rite Store #2726,Fulton,08/17/2005,41,,30318,,,,
2270,Save Rite Store #2734,Gwinnett,08/17/2005,38,,30044,,,,
2271,Save Rite Store #2735,Gwinnett,08/17/2005,38,,30044,,,,
2272,Save Rite Store #2711,Clayton,08/17/2005,55,,30274,,,,
2273,Save Rite Store #2733,Fulton,08/17/2005,53,,30272,,,,
2274,Save Rite Store #2716,Carroll,08/17/2005,45,,30180,,,,
2275,Save Rite Store #2708,Cobb,08/17/2005,61,,30080,,,,
2276,Winn Dixie Store #158,Liberty,08/17/2005,50,,31313,,,,
2277,Save Rite Store #2702,Dekalb,08/17/2005,58,,30083,,,,
2278,Save Rite Store #2723,Dekalb,08/17/2005,55,,30087,,,,
2279,Winn Dixie Store #14,Wayne,08/17/2005,62,,31545,,,,
2280,Save Rite Store #2713,Gwinnett,08/17/2005,55,,30047,,,,
2281,Save Rite Store #2715,Gwinnett,08/17/2005,43,,30043,,,,
2282,Save Rite Store #2705,Clayton,08/17/2005,56,,30236,,,,
2283,Save Rite Store #2736,Clayton,08/17/2005,52,,30273,,,,
2284,Save Rite Store #2722,Cobb,08/17/2005,49,,30144,,,,
2285,Save Rite Store #2729,Cobb,08/17/2005,56,,30062,,,,
2286,Winn Dixie Store #1827,Clarke,08/17/2005,57,,30607,,,,
2287,Winn Dixie Store #1834,Clarke,08/17/2005,53,,30605,,,,
2288,Save Rite Store #2718,Dekalb,08/17/2005,51,,30341,,,,
2289,Save Rite Store #2725,Dekalb,08/17/2005,54,,30034,,,,
2290,Save Rite Store #2731,Dekalb,08/17/2005,50,,30033,,,,
2291,Winn Dixie Store #1851,Habersham,08/17/2005,63,,30531,,,,
2292,Save Rite Store #2730,Fulton,08/17/2005,58,,30344,,,,
2293,Save Rite Store #2714,Paulding,08/17/2005,58,,30134,,,,
2294,Save Rite Store #2719,Paulding,08/17/2005,58,,30132,,,,
2295,Winn Dixie Store #1826,Baldwin,08/17/2005,62,,31061,,,,
2296,Save Rite Store #2738,Dekalb,08/17/2005,45,,30058,,,,
2297,Save Rite Store #2742,Dekalb,08/17/2005,32,,30058,,,,
2298,Save Rite Store #2743,Newton,08/17/2005,49,,30014,,,,
2299,Save Rite Store #2709,Coweta,08/17/2005,54,,30263,,,,
2300,Save Rite Store #2737,Douglas,08/17/2005,45,,30135,,,,
2301,Winn Dixie Store #1284,Columbia,08/17/2005,63,,30907,,,,
2302,Winn Dixie Store #1289,Columbia,08/17/2005,63,,30907,,,,
2303,Winn Dixie Store #1007,Richmond,08/17/2005,62,,30904,,,,
2304,Winn Dixie Store #181,Cook,08/17/2005,43,,31620,,,,
2305,Winn Dixie Store #1023,Hart,08/17/2005,51,,30643,,,,
2306,Winn Dixie Store #42,Telfair,08/17/2005,47,,31055,,,,
2307,Winn Dixie Store #1243,Mcduffie,08/17/2005,39,,30824,,,,
2308,Winn Dixie Store #1020,Richmond,08/17/2005,51,,30901,,,,
2309,Save Rite Store #2732,Bartow,08/17/2005,49,,30120,,,,
2310,Winn Dixie Store #126,Ben Hill,08/17/2005,35,,31750,,,,
2311,Winn Dixie Store #57,Thomas,08/17/2005,52,,31762,,,,
2312,Winn Dixie Store #55,Toombs,08/17/2005,38,,30474,,,,
2313,Winn Dixie Store #133,Appling,08/19/2005,37,,31513,,,,
2314,Winn Dixie Store #178,Coffee,08/19/2005,40,,31533,,,,
2315,Winn Dixie Store #188,Ware,08/19/2005,44,,31501,,,,
2316,Office Max Retail Delivery Center,Gwinnett,08/23/2005,61,,30174,,,,
2317,"Concord Fabrics, Inc.",Baldwin,08/23/2005,132,,31061,,,,
2318,Standard Textiles,Upson,08/24/2005,60,,30286,,,,
2319,"Diamond Crystal Bremen, Llc.",Haralson,08/25/2005,29,,30110,,,,
2320,General Motors,Dekalb,08/26/2005,150,,30360,,,,
2321,Renaissance Pineisle Resort & Golf Club,Hall,09/01/2005,251,,30518,,,,
2322,Lat Sportswear Llc,Cherokee,09/02/2005,14,,30107,,,,
2323,Green Tree Servicing Llc,Cobb,09/02/2005,178,,30339,,,,
2324,"Cooper-standard Automotive, Inc.",Spalding,09/06/2005,347,,30223,,,,
2325,"Nco Financial Systems, Inc.",Gwinnett,09/12/2005,101,,30096,,,,
2326,Dekalb Community Service Board,Dekalb,09/13/2005,72,,30030,,,,
2327,Nco Financial,Gwinnett,09/13/2005,30,,30092,,,,
2328,"Racemark International, Llc",Catoosa,09/14/2005,25,,30736,,,,
2329,General Motors Acceptance Corporation,Cobb,09/14/2005,45,,30339,,,,
2330,Kmc Telecom Holdings Inc.,Gwinnett,09/19/2005,60,,30043,,,,
2331,Acuity Lighting,Rockdale,09/20/2005,106,,30207,,,,
2332,Osi Support Service Inc,Gwinnett,09/20/2005,120,,30096,,,,
2333,Temple-inland Box Plant,Dekalb,09/20/2005,87,,30340,,,,
2334,Office Depot,Gwinnett,09/22/2005,35,,30518,,,,
2335,"Transmeridian Airlines, Inc.",Douglas,10/03/2005,110,,30122,,,,
2336,Tamsco,Houston,10/13/2005,137,,31088,,,,
2337,"Siemens Hearing Instruments, Inc.",Cobb,10/18/2005,80,,30066,,,,
2338,"Imerys Kaolin, Inc.",Twiggs,10/19/2005,60,,31020,,,,
2339,"Ostrow Company A.k.a. ""plej""",Richmond,10/24/2005,39,,30906,,,,
2340,"Well Point A.k.a. Blue Cross Blue Shield Of Georgia, Inc.",Fulton,10/24/2005,216,,30326,,,,
2341,"Well Point A.k.a. Blue Cross Blue Shield Of Georgia, Inc.",Muscogee,10/24/2005,52,,31904,,,,
2342,Office Depot,Dekalb,10/25/2005,30,,30288,,,,
2343,"Zua Autoparts, Inc.",Hall,10/25/2005,82,,30566,,,,
2344,"Ems Ventures, Inc",Richmond,10/26/2005,106,,30909,,,,
2345,Paragon Systems,Glynn,10/27/2005,95,,31524,,,,
2346,Tenneco Automotive,Hart,11/02/2005,78,,30643,,,,
2347,North American Mission Board,Fulton,11/04/2005,36,,30022,,,,
2348,Metro One,Cobb,11/14/2005,142,,30067,,,,
2349,Cardinal Health,Dekalb,11/15/2005,80,,30083,,,,
2350,"Agilent Technologies, Inc",Camden,11/16/2005,1,,31569,,,,
2351,"Agilent Technologies, Inc.",Cobb,11/16/2005,17,,30022,,,,
2352,"Home Products International, Inc",Thomas,11/22/2005,30,,31972,,,,
2353,"Gcc Drum, Inc.",Gwinnett,11/28/2005,64,,30045,,,,
2354,Intercall Video Service,Cobb,11/28/2005,50,,30339,,,,
2355,Accenture,Gwinnett,12/02/2005,30,,30092,,,,
2356,Accenture,Fulton,12/02/2005,58,,30303,,,,
2357,Accenture,Fulton,12/02/2005,99,,30375,,,,
2358,Lord & Taylor,Gwinnett,12/02/2005,60,,30519,,,,
2359,Wip-x Systems,Newton,12/06/2005,19,,30055,,,,
2360,Hexcel Schwebel,Wilkes,12/06/2005,29,,30673,,,,
2361,Pfizer Inc,Richmond,12/06/2005,240,,30903,,,,
2362,Panasonic Mobile Communications Development Corporation Of Usa,Gwinnett,12/09/2005,219,,30024,,,,
2363,Te Consolidated Llc,Brantley,12/13/2005,70,,31553,,,,
2364,Siemens Vdo Automotive,Hall,12/15/2005,32,,30501,,,,
2365,"Domtar Industries, Inc.",Fulton,12/20/2005,80,,30309,,,,
2366,First Data Resources,Bibb,12/29/2005,293,,31210,,,,
2367,Kaplan Financial,Cobb,12/29/2005,20,,30339,,,,
2368,Olon Industries,Fulton,12/29/2005,15,,30336,,,,
2369,Unique Solutions,Richmond,01/02/2004,220,,30906,,,,
2370,Whsmith Usa Travel Retail,Cobb,01/05/2004,94,,30339,,,,
2371,Flint River Textiles,Dougherty,01/05/2004,230,,31701,,,,
2372,"Earthlink, Inc.",Fulton,01/06/2004,321,,30309,,,,
2373,Westpoint Stevens-dixie,Troup,01/09/2004,200,,30240,,,,
2374,Westpoint Stevens-dunson,Troup,01/09/2004,350,,30241,,,,
2375,Eaton Inoac Company,Fulton,01/11/2004,53,,30336,,,,
2376,Marta,Fulton,01/12/2004,39,,30324,,,,
2377,Lord & Taylor,Fulton,01/12/2004,128,,30326,,,,
2378,Cca Global Partners,Cobb,01/20/2004,59,,30067,,,,
2379,Rich's/macy,Cobb,01/20/2004,89,,30080,,,,
2380,Columbia Forest Products,Randolph,01/23/2004,104,,31740,,,,
2381,Athens Ydc,Clarke,01/23/2004,54,,30605,,,,
2382,Washington Mutual,Cobb,01/28/2004,98,,30339,,,,
2383,Volt Services Group,Fulton,02/02/2004,45,,30319,,,,
2384,Fleetwood Draperies,Coffee,02/02/2004,123,,31533,,,,
2385,Hoover Hanes Rubber Corporation,Haralson,02/03/2004,105,,30176,,,,
