,company_name,location,notice_date,layoff_date,employees_affected
"Asset Development Group, LLC","Menomonie, Neenah, Rice Lake, Pulaski, Brodhead, Lake Geneva, Appleton, Marinette, Forest Junction, Menasha, Chippewa Falls, Mosinee, Kewaunee, Onalaska, Lake Mills, Rice Lake, Lannon, Beaver Dam, Eden, Fond du Lac, Waupaca, Wisconsin Rapids, Markesan, Janesville, Fennimore, Fort Atkinson, Portage, Marquette, Plover, Reeseville, Amery, Kenosha, East Troy, Sullivan, Beloit, Oak Creek, Spencer",75,CL,Lessors of Other Real Estate Property,20220601
"NeuGen, LLC",Madison,110,WR,Insurance Agencies & Brokerages,20220601
"DeBoer Transportation, Inc.",Sherry,59,CL,General Freight Trucking Long Distance TL,20220614
Phillips-Medisize,Hudson,96,WR,All Other Plastics Product Manufacturing,20220706
"GXO Logistics Supply Chain, Inc.",Sturtevant,144,CL,General Warehousing & Storage,20220711
"CapTel, Inc.",Madison,28,WR,Telephone Answering Services,20220720
"CapTel, Inc.",Milwaukee,245,WR,Telephone Answering Services,20220720
Schawk USA Inc.,New Berlin,25,CL,Support Activities for Printing,20220726
Neenah Foundry Company,Neenah,115,WR,Iron Foundries,20220729
Bay Fabrication Inc.,Green Bay,53,CL,Mineral Wool Mfg.,20220817
Pentair Inc.,"Brookfield, Pewaukee",210,CL,"Measuring, Dispensing & Oth Pumping Equip Mfg",20220830
"Biomat USA, Inc",Kenosha,33,CL,Blood & Organ Banks,20220908
"Biomat USA, Inc",Madison,47,CL,Blood & Organ Banks,20220908
"Biomat USA, Inc",Milwaukee,34,CL,Blood & Organ Banks,20220908
"Biomat USA, Inc",Milwaukee,31,CL,Blood & Organ Banks,20220908
"Therma-Stor, LLC",Madison,93,CL,AC Refrigeration & Forced Air Heating,20220921
Foremost Farms USA,"Athens, Plover",118,CL,Cheese Mfg.,20220923
"Tru Aseptics, LLC",Beloit,75,WR,Fruit & Vegetable Canning,20220930
"Georgia-Pacific Corrugated II, LLC",Oshkosh,38,CL,Corrugated & Solid Fiber Box Mfg,20221017
"Foot Locker, Inc.",Wausau,210,CL,General Warehousing & Storage,20221018
Portage Plastics Corporation,Portage,71,CL,Plastics Packaging Film & Sheet Mfg,20221101
"Healics Wellness, Inc.",Milwaukee,81,CL,Misc Ambulatory Health Care Services,20221106
"Diversey, Inc.",Watertown,60,WR,Soap & Other Detergent Mfg,20221117
"Inlanta Mortgage, Inc.",Pewaukee,62,CL,Consumer lending,20221129
"Sonoco Wisconsin Cores, LLC",Wisconsin Rapids,70,CL,Paperboard Mills,20221206
"Toledo Molding & Die, Inc.",Beloit,52,WR,Motor Vehicle Seating & Interior Trim Mfg,20221216
GXO Logistics Supply Chain Inc.,Kenosha,123,CL,General Warehousing & Storage,20221214
"Hubbell Gas Utility Solutions, Inc.",New Berlin,106,CL,Oil & Gas Pipeline Construction,20230104
"Monitronics International, Inc., d/b/a Brinks Home",Kenosha,1,WR,Security Systems Services excluding Locksmiths,20230105
"Piggly Wiggly, LLC",Milwaukee,52,CL,Supermarkets & Other Grocery Stores,20230117
ABM Industries Incorporated,Milwaukee,24,WR,Janitorial Services,20230120
Multi-Color Corporation,Menomonee Falls,29,CL,Commercial Printing (Except Screen and Books),20230123
"Foot Locker Corporate Services, Inc.",Oshkosh,97,CL,Managing Offices,20230123
"Briggs & Stratton, LLC",Wauwatosa,166,WR,Motor & Generator Mfg,20230127
The Biery Cheese Company,Plover,104,CL,Dairy Product Merch Whls,20230201
Marshfield Clinic Health System,Rice Lake,27,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Neillsville,12,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Marshfield,88,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Rhinelander,25,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Minocqua,10,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Ladysmith,37,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Menomonie,29,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Chippewa Falls,56,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Weston,3,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Park Falls,19,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Medford,26,WR,HMO Medical Centers,20230130
Marshfield Clinic Health System,Black River Falls,17,WR,HMO Medical Centers,20230130
"Weir Slurry Group, Inc.",Madison,115,CL,"Measuring, Dispensing & Other Pumping Equipment Mfg",20230201
CFS Brands,Elkhorn,32,WR,All Other Misc. Mfg.,20230209
"Accelerated Clinical Labs, Inc.",Wauwatosa,67,WR,Medical Laboratories,20230215
RGL Specialty Solutions,Green Bay,70,WR,Process & Logistics Consulting Services,20230216
Marshfield Clinic Health System,Colby,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Marshfield,60,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Minocqua,11,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Rhinelander,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Weston,14,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Merrill,4,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Wausau,14,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Stevens Point,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Stratford,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Wisconsin Rapids,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Woodruff,1,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Hayward,2,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Ladysmith,8,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Park Falls,9,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Caddot,3,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Eau Claire,16,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Chippewa Falls,5,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Rice Lake,13,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Neillsville,10,WR,HMO Medical Centers,20230301
Marshfield Clinic Health System,Beaver Dam,47,WR,HMO Medical Centers,20230301
Hutchinson Technology Inc.,Eau Claire,237,WR,Computer Storage Device Mfg,20230306
WM Recycle America LLC,Germantown,9,WR,Other Nonhazardous Waste Disposal,20230306
ABM Industries Incorporated,Milwaukee,37,WR,Janitorial Services,20230313
Marriott GE Healthcare Institute,Waukesha,29,WR,Hotels & Motels (except Casino Hotels),20230315
Yellow Corporation,Milwaukee,189,CL,General Freight Trucking Long Distance TL,20230316
MillerKnoll Inc.,Sheboygan,161,CL,Furn Merch Whls,20230329
David's Bridal,"Greenfield, Brookfield, Grand Chute, Madison, Ashwaubenon, Eau Claire",147,CL,Other Clothing Stores,20230414
Cardinal Stritch University Inc.,Milwaukee,476,CL,Colleges & Universities,20230421
Elkay Interior Systems,Fond du Lac,77,CL,Institutional Furniture Mfg,20230501
Collins Aerospace,Peshtigo,100,CL,Other Aircraft Parts & Equip,20230522
Puris Proteins LLC,Turtle Lake,48,WR,Soybean & Other Oilseed Processing,20230525
Phillips-Medisize,Medford,83,CL,All Other Plastics Product Mfg.,20230606
Hutchinson Technology Inc.,Eau Claire,50,WR,Computer Storage Device Mfg.,20230619
Badger Bus Lines Inc. ,Madison,200,WR,School & Employee Bus Trans,20230619
Forman Mills Inc,Milwaukee,33,CL,Family Clothing Stores,20230620
EatSteet Inc.,Madison,26,WR,Food Service Contractors,20230621
Aramark Campus LLC,Fond du Lac & North Fond du Lac,86,WR,Food Service Contractors,20230622
WB Warehousing & Logistics Inc.,Wauwatosa,33,CL,General Warehousing & Storage,20230626
Liberty Parts Team,Madison,20,CL,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,20230526
Community Development Institute Head Start,Ladysmith,14,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Hayward,6,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Medford,5,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Siren,6,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Minong,2,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Spooner,8,WR,Child & Youth Services,20230630
Community Development Institute Head Start,Dorchester,7,WR,Child & Youth Services,20230630
SHINE Technologies LLC,Janesville,41,WR,Other Basic Inorganic Chem Mfg,20230808
SHINE Technologies LLC,Janesville,10,WR,Other Basic Inorganic Chem Mfg,20230808
SHINE Technologies LLC,Janesville,3,WR,Other Basic Inorganic Chem Mfg,20230808
SHINE Technologies LLC,Beloit,5,WR,Other Basic Inorganic Chem Mfg,20230808
Yellow Corporation,Madison,10,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Eau Claire,9,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Mosinee,24,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Neenah,86,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Oak Creek,85,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Portage,1,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Tomah,45,CL,General Freight Trucking Long Distance TL,20230815
Yellow Corporation,Tomah,1,CL,General Freight Trucking Long Distance TL,20230815
Master Lock Company,Milwaukee,235,CL,Hardware Manufacturing,20230817
National Express Transit Corporation,"Milwaukee, Pewaukee, and Waukesha",140,WR,Charter Bus Ind,20230901
"Catholic Charities, Diocese of Madison",Madison,59,WR,Services for the Elderly & Disabled,20230906
"Lereta, LLC",Fond du Lac,28,WR,Other Credit Intermediation Activities,20230905
Regal Rexnord Corporation,Milwaukee,54,CL,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",20230913
Leaf Home,Kaukauna,37,WR,Residential Remodelers,20230912
Superior Die Set Corp,Miwaukee,133,CL,Special Tool Die Jig & Fixture Mfg,20230922
Energizer Manufacturing,Fennimore,172,CL,Prime Battery Mfg,20231002
"NorthStar Medical Radioisotopes, LLC",Beloit,65,WR,Surgical & Medical Instrument Mfg,20231005
"NorthStar Medical Radioisotopes, LLC",Madison,28,WR,Other Basic Inorganic Chem Mfg,20231005
Strauss Brands & Logistics,Franklin,127,WR,Animal exc Poultry Slaughtering,20231011
"Dowco, Inc.",Manitowoc,53,WR,Textile Bag & Canvas Mills,20231016
"Process Retail Group, Inc.",New Berlin,66,CL,Sign Mfg,20231016
BMO Bank N.A.,Milwaukee,44,WR,Commercial Banking,20231017
Premier Staffing Inc,Appleton,223,CL,Temporary Help Services,20231024
