,company_name,location,notice_date,layoff_date,employees_affected,Notice ID
613,"Millennium Packaging Solutions, LLC",Hamilton County,01/14/2013,01/28/2013,61.0,
614,Federal Mogul,Not Identified,01/18/2013,12/21/2012,169.0,
615,"Bradley""s Restaurant",Wayne County,01/25/2013,12/31/2012,9.0,
616,American Suzuki Motors,Davidson County,01/25/2013,03/14/2013,2.0,
617,Comcast Communications,Davidson County,02/07/2013,03/02/2013,30.0,
618,Tennessee Apparel Corp.,Wayne County,02/07/2013,03/15/2013,93.0,
619,Hemlock Semiconductor,Montgomery County,02/07/2013,03/18/2013,277.0,
620,Lectrus Corporation,Hamilton County,02/08/2013,02/07/2013,47.0,
621,T E Connectivity,Coffee County,02/19/2013,03/15/2013,33.0,
622,iostudio,Davidson County,03/04/2013,02/15/2013,97.0,
623,Henco Furniture,McNairy County,03/05/2013,04/01/2013,40.0,
624,PINNACLE AIRLINES INC,Shelby County,03/06/2013,04/01/2013,539.0,
625,"Linens & More, LLC",Rutherford County,03/07/2013,03/11/2013,14.0,
626,BR INTERVIEWING,Shelby County,03/07/2013,03/29/2013,35.0,
627,MEMPHIS CITY SCHOOLS,Shelby County,03/08/2013,05/22/2013,639.0,
628,Federal Mogul,Not Identified,03/12/2013,03/08/2013,107.0,
629,"Sonoco Products, Consumer Division",Hamilton County,03/12/2013,04/01/2013,34.0,
630,Intersate Brands Corp Depot 32,Not Identified,03/14/2013,11/20/2012,31.0,
631,Interstate Brands Corp Plant 166,Not Identified,03/14/2013,11/21/2012,136.0,
632,BlueCross / BlueShield of TN,Hamilton County,03/14/2013,03/01/2013,25.0,
633,Campbell Hausfeld,Wilson County,03/19/2013,05/15/2013,21.0,
634,Jarvis Caster Company,Madison County,03/21/2013,04/01/2013,40.0,
635,"Ratcliff Manufacturing, LLC",Hamblen County,03/21/2013,04/01/2013,12.0,
636,DAL Global Services,Shelby County,03/21/2013,04/13/2013,157.0,
637,Medline,Crockett County,03/21/2013,06/30/2013,40.0,
638,YP Holdings,Not Identified,03/27/2013,05/31/2013,34.0,
639,Interstate Brands Corp,Campbell County,03/28/2013,11/20/2012,12.0,
640,"Control Devices, LLC",Blount County,03/28/2013,05/01/2013,5.0,
641,ETI Precision Corp,Smith County,04/02/2013,03/24/2013,30.0,
642,Mayfield Dairy Farms,McMinn County,04/05/2013,03/08/2013,45.0,
643,Resolute Forest Products,McMinn County,04/12/2013,03/18/2013,137.0,
644,"General Motors, Spring Hill Manufacturing",Maury County,04/16/2013,04/12/2013,75.0,
645,"Alstom Power Turbomachines Group, LLC",Hamilton County,04/24/2013,05/10/2013,88.0,
646,Oreck,Putnam County,04/29/2013,02/25/2013,40.0,
647,Roses,Overton County,04/30/2013,04/18/2013,12.0,
648,PINNACLE AIRLINES INC,Shelby County,04/30/2013,05/31/2013,491.0,
649,Wilson's Sporting Goods,White County,05/02/2013,06/28/2013,20.0,
650,"MAXIMUS Human Services, Inc.",Davidson County,05/08/2013,06/28/2013,57.0,
651,MEMPHIS CITY SCHOOLS,Shelby County,05/09/2013,06/28/2013,130.0,
652,YRC INC,Shelby County,05/13/2013,05/18/2013,124.0,
653,Xerox Business Services,Davidson County,05/23/2013,07/09/2013,70.0,
654,Masco Bath Corp.,McNairy County,06/03/2013,07/23/2013,216.0,
655,Aerospace Testing Alliance,Coffee County,06/04/2013,04/19/2013,127.0,
656,TEAM 3 Logistics,Hamilton County,06/04/2013,05/10/2013,44.0,
657,Seedco,Shelby County,06/04/2013,06/30/2013,10.0,
658,ARL Memphis East Management LLC,Shelby County,06/04/2013,07/25/2013,89.0,
659,The Krystal Company,Hamilton County,06/06/2013,01/15/2013,39.0,
660,Lectrus Corporation,Hamilton County,06/06/2013,05/30/2013,38.0,
661,Wilton Brands LLC,Davidson County,06/06/2013,06/15/2013,120.0,
662,MEDTRONIC Spinal,Shelby County,06/06/2013,07/01/2013,57.0,
663,ODYSSEY MEDICAL,Shelby County,06/06/2013,08/01/2013,13.0,
664,"SHELBY COUNTY SCHOOLS EDUCATION
FND",Shelby County,06/14/2013,06/28/2013,179.0,
665,SECO Tools Inc.,Loudon County,06/14/2013,01/01/2014,72.0,
666,MEMPHIS CITY SCHOOLS,Shelby County,06/17/2013,06/28/2013,625.0,
667,Contech Casting LLC,Montgomery County,06/18/2013,07/15/2013,64.0,
668,Gibson General Hospital,Gibson County,06/21/2013,06/13/2013,50.0,
669,Concentra Advance Toxicology Network,Shelby County,06/25/2013,07/14/2013,22.0,
670,Concentra Advance Toxicology Network,Shelby County,06/25/2013,07/14/2013,163.0,
671,MEMPHIS CITY SCHOOLS,Shelby County,06/26/2013,06/27/2013,230.0,
672,Humboldt General Hospital,Gibson County,06/28/2013,06/13/2013,50.0,
673,"Coyod LLC, R&D fixtures",Wilson County,07/08/2013,07/12/2013,23.0,
674,P.S.I.,Hamilton County,07/12/2013,07/09/2013,14.0,
675,NORTHEAST CORRECTIONAL COMPLEX,Johnson County,07/26/2013,08/31/2013,6.0,
676,Alstom Chattanooga Boiler,Hamilton County,07/29/2013,07/29/2013,40.0,
677,Wilson Sporting Goods,White County,07/30/2013,09/20/2013,30.0,
678,E. W. James & Sons,Gibson County,08/05/2013,07/29/2013,34.0,
679,Corizon Inc.,Williamson County,08/07/2013,08/31/2013,204.0,
680,Pitney Bowes Government Solutions,Anderson County,08/08/2013,09/20/2013,31.0,
681,A. Schulman (ICO Polymers Site),Hardeman County,08/09/2013,07/25/2013,25.0,
682,Paslode,Tipton County,08/09/2013,08/07/2013,41.0,
683,Lennox (Innovative Hearth Products,Obion County,08/09/2013,08/12/2013,240.0,
684,Windham Professionals Inc.,Blount County,08/16/2013,08/30/2013,36.0,
685,MVP Brands (CBK0,Obion County,08/20/2013,08/20/2013,36.0,
686,Marathon Heater Haywood Division,Haywood County,08/20/2013,09/01/2013,30.0,
687,Maremont,Loudon County,08/27/2013,08/23/2013,35.0,
688,"Area203, LLC",Hamilton County,08/29/2013,08/16/2013,49.0,
689,"Cloudswell, Inc.",Hamilton County,08/29/2013,08/16/2013,52.0,
690,SupportSeven,Hamilton County,08/29/2013,08/16/2013,99.0,
691,Grid One Solutions,Knox County,09/17/2013,08/31/2013,63.0,
692,International Muffler Co. DBA Maremont,Loudon County,09/23/2013,10/13/2013,141.0,
693,Tennessee HMA Regional Service Center,Knox County,09/23/2013,10/16/2013,75.0,
694,"Wastren Advantage Inc. at the TRU Waste
Processing Center",Blount County,10/03/2013,10/03/2013,11.0,
695,Tennessee Apparel,Wayne County,10/03/2013,10/28/2013,81.0,
696,"The Hillman Group, Inc.",Davidson County,10/08/2013,09/12/2013,33.0,
697,Vanderbilt University,Davidson County,10/08/2013,09/16/2013,1033.0,
698,Ariiva Medical,Davidson County,10/10/2013,10/01/2013,46.0,
699,Toho Tenax America Inc.,Roane County,10/14/2013,06/01/2013,53.0,
700,Nestle Waters North America,Macon County,10/28/2013,10/24/2013,16.0,
701,"Bristol Custom Solutions/BLOCK & CO.,
INC.",Sullivan County,10/31/2013,09/20/2013,43.0,
702,IFCO,Weakley County,11/04/2013,11/01/2013,40.0,
703,"Team Centers, Inc",Hamilton County,11/05/2013,10/30/2013,4.0,
704,Great American Eats LLC,Hamilton County,11/05/2013,11/01/2013,50.0,
705,Luxottica Optical,Knox County,11/14/2013,11/19/2013,303.0,
706,Ruby Tuesday,Blount County,11/26/2013,11/20/2013,42.0,
707,Aramark Facilities Services,Davidson County,11/26/2013,12/31/2013,63.0,
708,Earthgrain Baking Companies Inc.,Davidson County,11/26/2013,01/13/2014,84.0,
709,N.A. Industries Inc.,Hamilton County,11/27/2013,11/27/2013,20.0,
710,Main Street Family Pharmacy,Dyer County,12/09/2013,12/04/2013,5.0,
711,Frank Crum/Matthew Millspas Roofing,Blount County,12/12/2013,12/03/2013,6.0,
712,Rural King,Carroll County,12/19/2013,12/19/2013,48.0,
713,HG Inc. - dba Justins,Hamblen County,01/03/2014,12/31/2013,25.0,
714,Ryder Integrated Logistics,Hamilton County,01/27/2014,10/21/2013,101.0,
715,Lectrus Corporation,Hamilton County,01/27/2014,01/08/2014,12.0,
716,Storm Cooper Components,Meigs County,01/27/2014,01/08/2014,25.0,
717,Esterline Defense Technologies,Gibson County,01/27/2014,01/16/2014,103.0,
718,VETCO LLC,Anderson County,01/27/2014,02/28/2014,6.0,
719,Group Data Services,Decatur County,01/31/2014,03/01/2014,16.0,
720,Lectrus Coorpporation,Hamilton County,02/03/2014,02/03/2014,13.0,
721,Tennier Industries Inc.,Morgan County,02/18/2014,03/15/2014,85.0,
722,Jones Distribution Corporation,Lawrence County,02/25/2014,03/10/2014,48.0,
723,Campbell Hausfeld,Wilson County,03/05/2014,02/11/2014,22.0,
724,"Fresenius Medical Care, North America /
Knox Billing Group",Knox County,03/11/2014,04/01/2014,23.0,
725,Pepsi Beverages Co,Shelby County,03/14/2014,03/14/2014,55.0,
726,Siskin Children's Institute,Hamilton County,03/18/2014,03/06/2014,39.0,
727,Federal Mogul,DeKalb County,03/21/2014,03/14/2014,175.0,
728,RockTenn,Gibson County,03/24/2014,03/17/2014,36.0,
729,JC Penny Store #1975,Hamilton County,03/26/2014,03/25/2014,70.0,
730,Bechtel,Rhea County,04/04/2014,04/02/2014,390.0,
731,Sharp Manufacturing Company of America,Shelby County,04/08/2014,03/14/2014,311.0,
732,Kroger Company,White County,04/17/2014,03/04/2014,62.0,
733,Babcock & Wilcox Clinch River LLC,Anderson County,04/22/2014,04/23/2014,121.0,
734,MPI Products LLC,Greene County,04/22/2014,05/05/2014,20.0,
735,Frost Arnett,Knox County,04/23/2014,03/31/2014,17.0,
736,Union City Urology,Obion County,05/02/2014,03/25/2014,5.0,
737,Crossroads Restaurant,Weakley County,05/02/2014,04/30/2014,9.0,
738,USEC Inc.,Anderson County,05/08/2014,05/19/2014,22.0,
739,Ferrara Candy Company,Hamilton County,05/13/2014,04/30/2014,95.0,
740,Coldwater Creek,Hamilton County,05/14/2014,05/06/2014,4.0,
741,Family Dollar Store,Weakley County,05/21/2014,05/20/2014,3.0,
742,Astec Underground DBA GEFCO Loudon,Loudon County,05/22/2014,05/05/2014,21.0,
743,Judy's This & That,Scott County,05/22/2014,05/05/2014,2.0,
744,3D Systems,Lawrence County,05/27/2014,04/11/2014,19.0,
745,Synalloy Metals,Sullivan County,06/06/2014,04/29/2014,93.0,
746,Altama Delta Corp,Henderson County,06/06/2014,05/27/2014,80.0,
747,Family Dollar,Scott County,06/06/2014,06/21/2014,3.0,
748,"Elemental Holdings, LLC",Madison County,06/06/2014,07/31/2014,35.0,
749,Bryan College,Rhea County,06/10/2014,06/05/2014,13.0,
750,Coast Sign Incorporated,Knox County,06/12/2014,06/10/2014,17.0,
751,Food Lion,Anderson County,06/24/2014,06/20/2014,40.0,
752,"Wellco Enterprises, Inc.",Hamblen County,07/10/2014,07/15/2014,46.0,
753,Ryder Integrated Logistics,Hamilton County,07/10/2014,07/31/2014,38.0,
754,BFN Operations LLC,DeKalb County,07/11/2014,07/02/2014,257.0,
755,"Ro-Search, Inc.",Hamblen County,07/11/2014,07/15/2014,3.0,
756,"Tactical Holdings Operations, Inc.",Hamblen County,07/11/2014,07/15/2014,14.0,
757,Well Care Health,Williamson County,07/15/2014,03/15/2014,100.0,
758,Imperial Group,Sumner County,07/15/2014,04/01/2014,80.0,
759,"Preferred Pallets, Inc.",Putnam County,07/15/2014,07/08/2014,10.0,
760,Sears Holding Corp.,Williamson County,07/18/2014,03/26/2014,75.0,
761,"Return Products Management, Inc.",Shelby County,07/21/2014,07/31/2014,40.0,
762,West Carroll Pharmacy,Carroll County,07/23/2014,07/23/2014,9.0,
763,BlueCross BlueShield of South Carolina,Davidson County,07/23/2014,09/16/2014,21.0,
764,The Rush,Knox County,08/15/2014,08/15/2014,55.0,
765,Solideal USA,Knox County,09/22/2014,09/10/2014,6.0,
766,Ennis Business Forms,Knox County,09/22/2014,09/26/2014,10.0,
767,Home Trust Bank,Hamblen County,09/29/2014,08/29/2014,36.0,
768,MED-A.R.M.,Shelby County,09/30/2014,12/01/2014,54.0,
769,Homax,Cheatham County,10/13/2014,04/07/2014,68.0,
770,Swan Products LLC,Carroll County,10/13/2014,09/17/2014,26.0,
771,Springs Global US,Davidson County,10/13/2014,11/12/2014,110.0,
772,Ferarra Pan Candy Company,Hamilton County,10/15/2014,09/25/2014,91.0,
773,"Staples, Inc.",Shelby County,10/16/2014,11/15/2014,20.0,
774,ResCare Workforce Services,Shelby County,10/17/2014,12/31/2014,137.0,
775,Staples North American Delivery,Williamson County,10/23/2014,10/14/2014,20.0,
776,Kmart,Dickson County,10/24/2014,10/06/2014,60.0,
777,"DTZ, Inc.",Shelby County,10/31/2014,11/01/2014,98.0,
778,"Tachi-S Automotive Seating-USA,LLC.",Wilson County,10/31/2014,12/23/2014,49.0,
779,"Sillco, Inc",Carroll County,11/07/2014,09/28/2014,48.0,
780,Adams USA Inc,Putnam County,11/13/2014,12/31/2014,20.0,
781,"Active Network, Inc.",Clay County,11/24/2014,12/19/2014,36.0,
782,"Delta Air Lines, Inc.",Shelby County,11/25/2014,02/01/2015,84.0,
783,Magnetic Dreams Animation Studio,Davidson County,12/03/2014,12/20/2014,20.0,
784,Cargill Inc,Shelby County,12/03/2014,06/30/2015,210.0,
785,Unitrac Railroad Materials Inc,Knox County,12/04/2014,06/30/2015,57.0,
786,Asurion,Davidson County,12/10/2014,02/08/2015,178.0,
787,Quad Graphics Inc,Dickson County,12/17/2014,02/15/2015,112.0,
788,Kairos Services Inc,Shelby County,12/18/2014,12/31/2014,8.0,
789,Shopko Hometown,Hickman County,01/07/2015,04/15/2015,14.0,
790,Macy's Southland Mall Store,Shelby County,01/08/2015,04/03/2015,104.0,
791,"Shapiro & Kirsch, LLP",Shelby County,01/12/2015,01/12/2015,70.0,
792,Kongsberg Automotive,Gibson County,01/15/2015,02/09/2015,60.0,
793,RR Donnelley,Davidson County,01/19/2015,05/01/2015,133.0,
794,A&S Building Systems Inc,Campbell County,01/21/2015,03/22/2015,164.0,
795,Trulite Glass and Aluminum Solutions,Davidson County,01/22/2015,01/30/2015,38.0,
796,Komatsu America Corp,Lauderdale County,01/23/2015,04/10/2015,45.0,
797,"Gefco, Astec Underground Inc.",Loudon County,01/30/2015,04/10/2015,75.0,
798,Dr Reddys Labrstories Tennessee LLC,Sullivan County,02/12/2015,04/17/2015,63.0,
799,Kordsa Inc,Hamilton County,02/17/2015,02/16/2015,28.0,
800,Alstom Power Inc.,Hamilton County,02/17/2015,04/24/2015,100.0,
801,Cosmolab,Marshall County,02/18/2015,04/24/2015,71.0,
802,Kik Custom Products,Shelby County,02/25/2015,12/31/2015,280.0,
803,Emerson Leroy Somer,Henderson County,02/26/2015,04/06/2015,76.0,
804,Jones Apparel,Lawrence County,03/05/2015,05/15/2015,206.0,
805,Shafer & Shafer Welding LLC,Scott County,03/09/2015,02/21/2015,6.0,
806,Hemlock Semiconductor,Montgomery County,03/13/2015,06/30/2015,48.0,
807,"American Wood Products, LLC.",Jefferson County,03/17/2015,03/17/2015,53.0,
808,Dell Computer Inc.,Davidson County,03/17/2015,04/01/2015,96.0,
809,AeroPro LLC,Cocke County,03/18/2015,05/27/2015,45.0,
810,Parkridge West Hospital,Marion County,03/23/2015,04/05/2015,49.0,
811,Cartus Corporation,Shelby County,03/25/2015,07/01/2015,61.0,
812,"Life Care Centers of America, Inc.",Hamilton County,03/30/2015,05/30/2015,149.0,
813,DAL Global Services,Shelby County,04/09/2015,05/14/2015,130.0,
814,Harris Teeter,Davidson County,04/14/2015,06/15/2015,224.0,
815,Cognosante,Davidson County,04/24/2015,05/29/2015,67.0,
816,First Transit Inc,Davidson County,04/28/2015,06/30/2015,90.0,
817,Conduit Global,Shelby County,05/06/2015,05/06/2015,592.0,
818,Weir Minerals Linatex,Sumner County,05/11/2015,09/30/2015,47.0,
819,Sears Holdings Corporation,Davidson County,05/19/2015,08/02/2015,46.0,
820,Gibson Guitar Brands,Davidson County,05/27/2015,05/29/2015,43.0,
821,Heritage Manufacturing,Sullivan County,05/28/2015,05/27/2015,90.0,
822,Rexnord LLC Cylindrical Bearing,Anderson County,05/28/2015,03/31/2016,130.0,
823,Covenant Surgical Partners,Morgan County,06/05/2015,06/12/2015,7.0,
824,"Magna Exteriors and Interiors Corp -
Decostar Chattanooga",Hamilton County,06/10/2015,09/10/2015,50.0,
825,Owens Corning,Shelby County,06/24/2015,07/05/2015,16.0,
826,Aramark at Erlanger Medical System,Hamilton County,06/30/2015,08/18/2015,399.0,
827,WestRock,Coffee County,07/14/2015,09/11/2015,50.0,
828,TS3 Technology,Williamson County,07/16/2015,07/31/2015,81.0,
829,WestRock,Marion County,07/16/2015,09/17/2015,136.0,
830,"Nationwide Studios, Teddy Bear Portraits",Sumner County,07/21/2015,07/21/2015,69.0,
831,Aerospace Testing Alliance,Coffee County,07/28/2015,,1861.0,
832,Bayer Healthcare LLC,Shelby County,07/30/2015,09/30/2015,55.0,
833,Green Tree Servicing,Sumner County,08/01/2015,10/01/2015,32.0,
834,Coyne International Enterprises Corp.,Sullivan County,08/11/2015,10/31/2015,50.0,
835,HT Hackney,McMinn County,08/24/2015,09/18/2015,47.0,
836,Comcast's Chattanooga CommOps Center,Hamilton County,08/26/2015,10/30/2015,104.0,
837,Z and L Machining Inc.,Jefferson County,08/27/2015,08/28/2015,3.0,
838,Eaton,Dyer County,08/28/2015,09/15/2015,20.0,
839,"Jabil Circuits, Inc.",Shelby County,09/09/2015,05/01/2015,107.0,
840,McGhee Tyson Inn,Blount County,09/11/2015,09/30/2015,38.0,
841,"Flowers Baking Co. of Morristown, LLC",Hamblen County,09/18/2015,09/18/2015,55.0,
842,DEMDACO,Shelby County,09/29/2015,12/31/2015,15.0,
843,Mountain Management Svc Inc,Hamilton County,10/06/2015,11/01/2015,18.0,
844,Rocore,Knox County,10/08/2015,12/31/2015,50.0,
845,"The Great Smoky Mountain Lumberjack
Feud",Sevier County,10/11/2015,12/31/2015,115.0,
846,"Unipower Technology, LLC",Sequatchie County,10/12/2015,10/09/2015,7.0,
847,CSX Transportation,Unicoi County,10/14/2015,10/15/2015,277.0,
848,Sun Products Corporation,Dyer County,10/14/2015,12/18/2015,173.0,
849,General Shale Brick,Rhea County,10/15/2015,10/12/2015,9.0,
850,"Community Health Alliance Mutual
Insurance",Knox County,10/23/2015,12/31/2015,160.0,
851,Community Health Alliance,Knox County,10/30/2015,11/30/2015,148.0,
852,Centrus Energy,Anderson County,11/05/2015,11/10/2015,12.0,
853,ProNova Solutions,Blount County,11/23/2015,11/17/2015,28.0,
854,"Nyrstar Tennessee Mines - Gordonsville
LLC",Smith County,12/07/2015,12/07/2015,346.0,
855,"Emerson Corp dba Leroy Somer-North
America",Chester County,12/18/2015,01/29/2016,74.0,
856,"Griffin Technology, Inc.",Davidson County,12/18/2015,02/19/2016,98.0,
857,Dupont,Hamilton County,12/21/2015,12/31/2015,40.0,
858,Dupont Danisco Cellulosic Ethanol LLC,Monroe County,12/30/2015,12/31/2015,10.0,
859,AIG Financial Network ( Chattanooga),Hamilton County,01/08/2016,01/08/2016,25.0,
860,Oberto Brands,Davidson County,01/11/2016,03/18/2016,82.0,
861,"Sears Roebuck and Co., Full Line Store,
Auto Center",Shelby County,01/12/2016,04/10/2016,109.0,
862,American General (AIG),Williamson County,01/12/2016,07/15/2016,128.0,
863,Walmart,Davidson County,01/15/2016,04/15/2016,88.0,
864,Sprint,Sullivan County,01/22/2016,02/05/2016,457.0,
865,Eaton Corporation,Jackson County,01/27/2016,03/26/2016,93.0,
866,AIG Financial Services,Knox County,01/28/2016,01/07/2016,40.0,
867,DLH Bowles,Sullivan County,02/02/2016,04/01/2016,99.0,
868,"Shaw Industries Group, Inc.",Franklin County,02/03/2016,04/03/2016,228.0,
869,"Johnson & Johnson Health Care Systems,
Inc.",Shelby County,02/03/2016,04/04/2016,127.0,
870,CEVA Logistics U. S. Inc.,Shelby County,02/11/2016,04/15/2016,108.0,
871,Comprehensive Pain Specialists,Sumner County,02/19/2016,02/16/2016,82.0,
872,Kenco,Hamilton County,02/19/2016,05/09/2016,238.0,
873,First Data,Shelby County,03/01/2016,,,
874,McNairy Hospital Corporation,McNairy County,03/18/2016,05/18/2016,129.0,
875,Sodexo,Washington County,04/20/2016,05/31/2016,141.0,
876,"Southern Centrifugal (MetalTek
International)",Hamilton County,04/21/2016,06/24/2016,46.0,
877,Aramark,Washington County,04/22/2016,06/30/2016,139.0,
878,Capstone aka Integrity Nutraceuticals,Maury County,04/27/2016,06/26/2016,125.0,
879,ATA - Aerospance Testing Alliance,Coffee County,04/27/2016,06/30/2016,1500.0,
880,"West Tennessee Utility Construction, Inc.",Madison County,05/18/2016,06/18/2016,104.0,
881,Leroy Somer,Henderson County,06/15/2016,08/19/2016,66.0,
882,Pioneer Health Services of Oneida LLC,Scott County,06/16/2016,07/01/2016,92.0,
883,Matthews International Corp.,Sullivan County,06/20/2016,09/23/2016,93.0,
884,GE Power,Knox County,06/22/2016,08/21/2016,85.0,
885,Genco,Shelby County,06/23/2016,08/23/2016,160.0,
886,SunTrust Nashville Operations Center,Davidson County,06/30/2016,08/31/2016,83.0,
887,Sanford LLP,Bedford County,07/11/2016,09/12/2016,78.0,
888,"Koontz-Wagner Custom Control Holdings,
LLC",Hamilton County,07/19/2016,09/09/2016,81.0,
889,GE Power,Hamilton County,07/22/2016,09/23/2016,94.0,
890,Kmart #3876,McMinn County,07/25/2016,07/31/2016,40.0,
891,Orianna Health Systems,Shelby County,07/28/2016,10/01/2016,52.0,
892,"Goodman Manufacturing Company, L.P.",Rhea County,07/29/2016,09/30/2016,293.0,
893,ASCO,Maury County,08/08/2016,10/21/2016,107.0,
894,"Benchmark Brands, Inc.",Shelby County,08/11/2016,08/11/2016,78.0,
895,Magna Techform of America,Sumner County,08/16/2016,10/07/2016,44.0,
896,"WGS Global Services, LC",McMinn County,08/25/2016,10/24/2016,,
897,Excel Inc. d/b/a DHL Supply Chain,Rutherford County,08/25/2016,11/16/2016,122.0,
898,Sitel Operating Corporation,Knox County,09/07/2016,11/07/2016,75.0,
899,Kohler Company,Obion County,09/08/2016,11/06/2016,44.0,
900,INVISTA Chattanooga,Hamilton County,09/08/2016,11/11/2016,50.0,
901,Gold Bond Worldwide,Tipton County,09/12/2016,11/18/2016,53.0,
902,KMART Memphis #4970,Shelby County,09/16/2016,12/04/2016,118.0,
903,Blair Composites,Greene County,09/27/2016,10/14/2016,83.0,
904,Asurion,Davidson County,09/30/2016,11/30/2016,12.0,
905,Ledford Employee Exchange,Marshall County,09/30/2016,12/07/2016,83.0,
906,Bert-Co Industries,Giles County,10/14/2016,12/25/2016,48.0,
907,Goodman Manufacturing,Lincoln County,10/17/2016,12/22/2016,1800.0,
908,Royal Building Products,Dyer County,10/17/2016,04/30/2017,58.0,
909,Trinity Marine,Cheatham County,10/21/2016,12/21/2016,107.0,
910,Kmart,Hamilton County,11/17/2016,12/11/2016,49.0,
911,"Bechtel Infrastructure and Power
Corporation",Davidson County,12/12/2016,02/03/2017,70.0,
912,Comcast Cable,Hamilton County,12/15/2016,12/18/2016,43.0,
913,United Technologies,Rutherford County,01/06/2017,03/31/2017,64.0,
914,Sensata Technologies,Robertson County,01/09/2017,06/01/2017,300.0,
915,DSV Solutions,Humphreys County,01/16/2017,05/01/2017,83.0,
916,"LSC Communications US, LLC",Sumner County,01/24/2017,03/27/2017,144.0,
917,American Medical Response of Tennessee,Shelby County,02/01/2017,04/01/2017,175.0,
918,Bind Tech Inc,Davidson County,02/02/2017,02/22/2017,68.0,
919,The PIC Group,Hamilton County,02/03/2017,02/26/2017,79.0,
920,Convergys Corporation,Montgomery County,02/03/2017,04/10/2017,134.0,
921,UTC Aerospace Systems,Coffee County,02/15/2017,04/15/2017,98.0,
922,Adient US LLC,Henderson County,02/24/2017,04/28/2017,181.0,
923,"Propak Logistics, Inc.",Rutherford County,02/27/2017,03/31/2017,143.0,
924,Signature Healthcare,Shelby County,03/09/2017,04/07/2017,215.0,
925,Aquinas College,Davidson County,03/16/2017,05/15/2017,53.0,
926,Porter-Leath,Shelby County,03/27/2017,05/26/2017,341.0,
927,"The Results Companies, LLC",Davidson County,03/28/2017,06/01/2017,150.0,
928,Service Management Systems,Davidson County,03/29/2017,05/31/2017,108.0,
929,Leroy Somer North America,Henderson County,04/07/2017,06/09/2017,63.0,
930,Bechtel,Anderson County,04/19/2017,06/23/2017,78.0,
931,"IAC Springfield, LLC",Robertson County,04/20/2017,06/30/2017,145.0,
932,"Angelica Textile Services, Inc.",Shelby County,05/03/2017,07/03/2017,87.0,
933,Day & Zimmermann,Sullivan County,05/09/2017,06/30/2017,140.0,
934,Convergys,Montgomery County,05/09/2017,07/14/2017,160.0,
935,PVH Corp,Hamilton County,05/09/2017,07/14/2017,85.0,
936,"Burner Systems International, Inc.",Hamilton County,05/12/2017,03/30/2018,136.0,
937,Kellogg's Snacks,Shelby County,05/26/2017,07/29/2017,172.0,
938,"IAC Dayton, LLC",Rhea County,06/01/2017,07/31/2017,160.0,
939,"Brock, LLC",Sullivan County,06/15/2017,08/21/2017,507.0,
940,"Royal Remanufacturing, LLC",Marion County,06/27/2017,08/31/2017,75.0,
941,Kmart Corporation Store #03143,Madison County,07/07/2017,09/24/2017,59.0,
942,Kellogg Company,Fayette County,07/20/2017,09/24/2017,117.0,
943,J. C. Penney Corporation,Knox County,07/25/2017,10/01/2017,69.0,
944,Perfect Serve,Knox County,08/01/2017,09/30/2017,30.0,
945,"Gannett Satellite Information Network, LLC",Davidson County,08/02/2017,10/01/2017,88.0,
946,Armstrong Flooring Inc.,Madison County,08/07/2017,10/06/2017,215.0,
947,Resolute Forest Products,McMinn County,08/14/2017,10/14/2017,222.0,
948,BTI Tools,Sullivan County,08/14/2017,11/30/2017,31.0,
949,Duracell,Davidson County,08/30/2017,11/10/2017,91.0,
950,General Motors LLC,Maury County,09/22/2017,11/27/2017,680.0,
951,Ryder,Maury County,09/26/2017,11/22/2017,361.0,
952,Gannett Publishing Services,Shelby County,09/28/2017,12/31/2017,55.0,
953,"Conduent Commercial Solutions, LLC",Davidson County,10/02/2017,11/28/2017,94.0,
954,"Global Personnel Solutions, Inc.",Bradley County,10/11/2017,12/10/2017,,
955,M. Block and Sons,Jefferson County,10/11/2017,12/11/2017,50.0,
956,Luxottica Retail North America Inc.,Shelby County,10/24/2017,12/31/2017,208.0,
