,company_name,location,notice_date,layoff_date,employees_affected,Industry
534,Sensient Flavors,Indianapolis,04/04/2016,12/30/2016,86,Flavoring concentrates (except coffee based) manufacturing
535,Triad Mining LLC,Edwardsport,03/24/2016,05/23/2016,75,Bituminous Coal Underground Mining
536,CEC Liberty Hall,Indianapolis,03/11/2016,05/15/2016,50,Rehabilitation agencies for offenders
537,"Aramark Educational Services, LLC",Terre Haute,03/02/2016,06/01/2016,126,Cafeteria food services contractors
538,SpartanNash Company,Westville,02/11/2016,04/11/2016,76,General Line Grocery Merchant Wholesalers
539,Alcoa Warrick Operations,Newburgh,02/05/2016,04/07/2016,600,Primary smelting of aluminum
540,"Hogan Transport, Inc.",Indianapolis,02/01/2016,03/24/2016,82,General freight trucking
541,Silgan Containers,LaPorte,02/01/2016,04/02/2016,62,Food Product Machinery Manufacturing
542,Silgan Containers -Revised,LaPorte,,,,
543,Silgan Containers -Revised (7/29/16),LaPorte,,,,
544,"ADVANTAGE Health Solutions, Inc",Indianapolis,01/29/2016,03/31/2016,78,Direct Health and Medical Insurance Carriers
545,Southwire Company,Plainfield,01/29/2016,03/31/2016,50,All Other Miscellaneous Fabricated Metal Product Manufacturing
546,GENCO,Plainfield,01/28/2016,03/31/2016,90,General Warehousing and Storage
547,Vigo Coal Company,"Boonville, Evansville",01/19/2016,03/26/2016,66,Bituminous Coal and Lignite Surface Mining
548,Pure Metal Recycling,South Bend,12/04/2015,12/04/2015,13,Metal scrap and waste merchant wholesalers
549,"Trans-Industries, Inc",Marion,11/24/2015,11/24/2015,7,Automobile Parts Manufacturing
550,Gibson County Coal,Princeton,11/06/2015,01/06/2016,130,Bituminous Coal Underground Mining
551,UMI LLC & United Minerals Company LLC,Huntingburg,10/28/2015,12/31/2015,138,Bituminous Coal Underground Mining
552,General Mills,New Albany,10/26/2015,Sept. 2016,343,Fats and Oils Refining and Blending
553,CB&I and Webster Construction,Rockport,10/27/2015,12/31/2015,160,Industrial Building Construction
554,Sonoco,New Albany,10/16/2015,08/31/2016,76,Packaging Machinery Manufacturing
555,"Indiana Marujun, LLC",Winchester,10/12/2015,11/15/2016,734,Automobile Parts Manufacturing
556,ModusLink Global Solutions,Bloomington,09/25/2015,12/01/2015,169,Wireless Communications Equipment Manufacturing
557,"C. H. Guenther & Son, Inc.",Indianapolis,09/24/2015,12/31/2015,62,Food Product Manufacturing
558,Exelis Inc.,Fort Wayne,09/25/2015,06/30/2016,356,Other Information Communications Technology Services
559,Carter Fuel Systems,Logansport,09/23/2015,11/22/2015,111,Other Motor Vehicle Parts Manufacturing
560,Carter Fuel Systems-Revised (10/5/15),Logansport,,,,
561,Carter Fuel Systems-Revised (12/11/15),Logansport,,,,
562,Triple Crown Services,Fort Wayne,09/18/2015,11/17/2015,193,Freight Transportation Arrangement
563,Holiday Inn,Terre Haute,09/14/2015,11/15/2015,70,Hotels (except Casino Hotels) and Motels
564,"Pall Filter Specialists, Inc.",Michigan City,09/10/2015,11/15/2015,28,All Other Miscellaneous General Purpose Machinery Manufacturing
565,"Pall Filter Specialists, Inc.-Revised (12/2/15)",Michigan City,,,,
566,Parker Hannifin Corp.,New Haven,07/22/2015,06/30/2016,150,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
567,Stanrail,Gary,07/14/2015,10/31/2015,88,All other Miscellaneous Fabricated Metal Product Manufacturing
568,Dean Foods Company of Indiana,Rochester,07/14/2015,10/16/2015,138,Fluid Milk Manufacturing
569,McGraw-Hill Education,Indianapolis,06/30/2015,08/29/2015,107,Educational Testing Evaluation Services
570,Silgan Plastics Corporation,Ligonier,06/26/2015,06/29/2015,69,All other Plastics Products Manufacturing
571,Silgan Plastics Corporation-Revised (8/24/15),Ligonier,,,,
572,Goodwill Industries of Central Indiana,Indianapolis,05/20/2015,07/01/2015,67,Vocational rehabilitation agencies
573,Goodwill Industries of Central Indiana-Revised,Indianapolis,,,,
574,Clondalkin Pharma & Healthcare,Evansville,05/13/2015,10/31/2015,149,"Labeling (i.e., packaging) machinery manufacturing"
575,AmeriHealth Caritas Services,Indianapolis,04/30/2015,07/01/2015,95,"Insurance carriers, health, direct"
576,Pure Power Technologies Metal Castings,Indianapolis,04/29/2015,11/01/2015,192,All other Motor Vehicle Parts Mfg.
577,P.T.O Services Inc.,Gary,04/01/2015,05/31/2015,57,General freight trucking
578,JP Morgan & Chase Co. Student Lending Servicing Group,Indianapolis,03/26/2015,05/25/2015,73,Commercial Banking
579,Tecomet - Symmetry Medical Manufacturing Inc.,Avilla,03/30/2015,12/30/2015,129,Surgical Appliance and Supplies Manufacturing
580,Tecomet - Symmetry Medical Manufacturing Inc.-Revised,Avilla,,,,
581,Tecomet - Symmetry Medical Manufacturing Inc.-Revised,Avilla,,,,
582,United States Steel Corporation Gary Works Plant,Gary,03/25/2015,No closure date announced. Layoffs to commence 05/27/2015,323,Iron and Steel Mills and Ferroalloy Manufacturing
583,Indiana Michigan Power Company,Lawrenceburg,03/16/2015,05/31/2015,92,Electric Power Generation
584,"Forward Air, Inc.",South Bend,03/09/2015,TBD,214,Scheduled air freight transportation
585,Schott Gemtron,Vincennes,02/23/2015,03/24/2015,40,All Other Miscellaneous Manufacturing
586,Schott Gemtron-Revised,Vincennes,,,,
587,ModusLink Global Solutions,Bloomington,02/20/2015,04/21/2015,320,Wireless Communications Equipment Manufacturing
588,"Hartmann USA, Inc",Bloomington,02/23/2015,04/30/2015,49,"Bandages and dressings, surgical and orthopedic, manufacturing"
589,Huhtamaki,Marion,02/13/2015,04/20/2015,38,All other Converted Paper Product Manufacturing
590,Northrop Grumman,Edinburg,04/29/2015,06/29/2015,49,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument"
591,Northrop Grumman-Revised,Edinburg,,,,
592,Northrop Grumman--Revised,Edinburg,,,,
593,Sodexo,Richmond,02/3/2015,03/15/2015,65,Food Service Contractors
594,TeleServices Direct,Lafayette,01/30/2015,03/31/2015,137,Other Services Related to Advertising
595,IU Health Morgan Hospital,Martinsville,01/26/2015,03/31/2015,96,General Medical and Surgical Hospital
596,Kmart,Plymouth,01/16/2015,04/12/2015,68,Discount Department Stores
597,United States Steel Corporation,Gary,01/20/2015,03/22/2015,397,Iron and Steel Mills and Ferroalloy Manufacturing
598,Golden Living Center - North Willow,Indianapolis,01/14/2015,03/15/2015,50,Group homes for the disabled with nursing care
599,Hoosier Park Racing Casino,Merrillville,01/12/2015,03/15/2015,33,Casinos
600,Market Day LLC,Indianapolis,01/07/2015,03/07/2015,40,Groceries Merchant Wholesalers
601,Harvey Industries LLC,Wabash,01/02/2015,12/31/2014,141,Aluminum die-casting foundries
602,Caremark subsidiary of CVS,Indianapolis,12/30/2014,02/27/2015,124,Health Pharmacy
603,Marion General Hospital,Marion,11/24/2014,02/01/2015,69,General Medical and Surgical Hospital
604,GE Alliances & Lighting,Batesville,11/19/2014,01/23/2015,34,"Electric motors, wiring supplies, and lighting fixtures merchant wholesalers"
605,Pearson Education,Lebanon,11/04/2014,02/28/2015,209,Periodical Publishers
606,"Shopko Operating Stores Co., LLC",Lebanon,11/13/2014,01/12/2015,72,General Warehousing and Storage
607,GE Power Conversion,Fort Wayne,11/03/2014,01/31/2015,56,Motor and Generator Manufacturing
608,Genesis Casket Company,Indianapolis,10/28/2014,12/27/2014,56,Burial caskets and cases manufacturing
609,R & D Concrete and Country Stone,various Indiana locations,10/17/2014,12/01/2014 through 02/02/2015,43,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
610,Hilton Indianapolis North,Indianapolis,10/15/2014,12/23/2014,46,Hotels and Motels
611,Domtar,Indianapolis,10/13/2014,12/12/2014,55,Paper Manufacturing
612,St. Vincent Seton Specialty Hospital,Lafayette,10/01/2014,12/03/2014,83,Specialty (except Psychiatric and Substance Abuse) Hospitals
613,Kmart Corporation - Sears Holdings,Indianapolis,09/23/2014,11/30/2014,131,Discount Department Stores
614,Kmart Corporation - Sears Holdings,Indianapolis,09/23/2014,12/07/2014,139,Discount Department Stores
615,Indiana University Cyclotron Operations,Bloomington,08/22/2014,11/25/2014,120,Analytical Laboratory Instrument Manufacturing
616,Talon Logistics,Sellersburg,08/25/2014,09/22/2014-12/07/2014,62,General Warehousing and Storage
617,Rural Metro Corporation,Indianapolis,08/18/2014,08/18/2014-12/31/2014,84,Ambulance Services
618,Rural Metro Corporation,"Indianapolis, Anderson, Logansport,  Martinsville, and Richmond",08/18/2014,08/18/2014-12/31/2014,277,Ambulance Services
619,Rural Metro Corporation-Revised,"Indianapolis, Anderson, Logansport,  Martinsville, and Richmond",,,,
620,ModusLink,Indianapolis,08/12/2014,10/31/2014,110,Warehousing distribution
621,"DIY Group, Inc",Muncie,08/12/2014,04/01/2015,261,Fruit and Vegetable Canning Manufacturing
622,Springleaf Financial,Evansville,08/05/2014,09/30/2014,170,Finance Companies
623,Herff Jones,Indianapolis,07/11/2014,11/14/2014,110,Book publishers and printing combined
624,Five Star Mining,Petersburg,07/02/2014,09/14/2014,380,Bituminous Coal Underground Mining
625,Black Panther Mining,Oaktown,07/02/2014,09/14/2014,494,Bituminous Coal Underground Mining
626,Novitex Enterprise Solutions,Plainfield,06/24/2014,08/28/2014,155,Commercial Printing
627,Parkview Health-Parkview Oaks and Parkview Pointe Assisted Living Facilities,Columbia City,06/17/2014,09/14/2014,52,Continuing Care Retirement Communities
628,URS Federal Services,Odon,06/16/2014,07/08/2014,59,Engineering Services
629,ABC Companies,Nappanee,05/12/2014,09/15/2014,160,Recreational Vehicle Dealers
630,Hartzell Air Movement,Portland,05/05/2014,07/07/2014,44,Industrial & Commercial Fan & Blower Manufacturing
631,MKM Distribution Services,Indianapolis,04/22/2014,06/23/2014,84,Distribution and Warehousing
632,Allegheny Technologies Incorporated,LaPorte,04/22/2014,06/18/2014,123,Metal Manufacturing
633,Irwin Tools,Greenfield,04/22/2014,07/18/2014,79,Power Driven Hand Tool Manufacturing
634,Chesapeake Pharmaceutical and Healthcare Packaging,Evansville,04/15/2014,06/27/2014,59,Packaging machinery manufacturing
635,Chesapeake Pharmaceutical and Healthcare Packaging-Revised,Evansville,,,,
636,Chesapeake Pharmaceutical and Healthcare Packaging-Revised,Evansville,,,,
637,Hickory Creek Healthcare,Gaston,03/17/2014,05/23/2014,91,Powder Metallurgy Part Manufacturing
638,Old National Bancorp,Fort Wayne,03/10/2014,03/16/2014,41,Banking
639,Supreme Corporation,Goshen,03/12/2014,05/23/2014,50,Shuttle Bus Bodies
640,"Consolidated Transport Systems, Inc.",Michigan City,03/05/2014,03/31/2014,130,Transport Company
641,Indiana Limestone Company,Bloomington and Oolitic,02/24/2014,04/28/2014,166,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
642,Federal-Mogul,Avilla,02/11/2014,10/01/2014,95,All Other Plastics Prod Manufacturing
643,Allied Specialty Vehicles,Elkhart,02/10/2014,02/10/2014,85,Recreational Vehicles & Campers-Mfrs
644,"N-Store Merchandising & HAD, Inc.",Statewide,02/04/2014,02/03/2014,85,Craft supply stores
645,AGI - Shorewood Group,Indianapolis,01/14/2014,03/31/2014,203,Container board stock manufacturing
646,Archiver's Stores,Indianapolis,01/10/2014,02/14/2014,21,Craft supply stores
647,Comlux,Indianapolis,01/09/2014,01/17/2014,45,Aircraft seats manufacturing
648,Pearson Education,Lebanon,12/11/2013,12/31/2014,160,Periodical Publishers
649,"Fulton Industries, Inc",Rochester,12/10/2013,03/01/2014,90,Machine Shops
650,New Age Healthcare,Arcadia,11/11/2013,12/31/2013,100,Services for the Elderly and Persons with Disabilities
651,PolyOne Designed Structures and Solutions,Warsaw,11/05/2013,01/06/2014,110,Plastics Packaging Film and Sheet Manufacturing
652,Multi Packing Solutions,Terre Haute,11/01/2013,12/31/2013,150,Commercial Lithographic Printing
653,"Peabody Indiana Services, LLC",Cannelburg,10/31/2013,04/30/2014,86,Bituminous Coal & Lignite Surface Mining
654,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
655,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
656,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
657,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
658,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
659,"Peabody Indiana Services, LLC -Revised",Cannelburg,,,,
660,"Peabody Midwest Management Services, LLC",Cannelburg,10/31/2013,12/31/2013,3,Bituminous Coal & Lignite Surface Mining
661,"Peabody Midwest Management Services, LLC-Revised",Cannelburg,,,,
662,"Peabody Midwest Management Services, LLC-Revised",Cannelburg,,,,
663,"Peabody Midwest Management Services, LLC-Revised",Cannelburg,,,,
664,"Peabody Midwest Management Services, LLC-Revised",Cannelburg,,,,
665,"Fabri-Form, Inc",Pekin,10/07/2013,01/01/2014,37,All Other Plastics Prod Manufacturing
666,"The Arc of Northwest Indiana, Inc",Lake and Porter Counties,10/03/2013,10/03/2013,114,Services for the Elderly and Persons with Disabilities
667,"The Arc of Northwest Indiana, Inc-Revised",Lake and Porter Counties,,,,
668,First Merchants Bank,Lake County,10/03/2013,12/06/2013,84,"Banking, commercial"
669,"Nyloncraft, Inc.",Fort Wayne,10/01/2013,09/01/2014,96,All Other Plastics Prod Manufacturing
670,Indiana University Health,Statewide,09/30/2013,12/01/2013,819,General Medical & Surgical Hospitals
671,Indiana University HealthAffected Positions,Indianapolis,09/30/2013,12/01/2013,617,General Medical & Surgical Hospitals
672,Indiana University Health PhysiciansAffected Positions,Indianapolis,09/30/2013,12/01/2013,14,General Medical & Surgical Hospitals
673,Indiana University Health North HospitalAffected Positions,Carmel,09/30/2013,12/01/2013,66,General Medical & Surgical Hospitals
674,Indiana University Health Saxony HospitalAffected Positions,Fishers,09/30/2013,12/01/2013,2,General Medical & Surgical Hospitals
675,Indiana University Ball Memorial Hospital Affected Positions,Muncie,09/30/2013,12/01/2013,120,General Medical & Surgical Hospitals
676,CMW International Inc.,Indianapolis,09/24/2013,11/23/2013,100,Powder Metallurgy Part Manufacturing
677,CMW International Inc.-Revised,Indianapolis,,,,
678,CMW International Inc.-Revised,Indianapolis,,,,
679,CMW International Inc.-Revised,Indianapolis,,,,
680,JPMorgan Chase & Co.,Indianapolis,09/23/2013,11/22/2013,7,"Banking, commercial"
681,Frontier Communications Corporation,Carmel,09/19/2013,11/18/2013,54,Communications Services
682,Capital Senior Living ILM-B Inc. d/b/a Town Centre Health Care,Merrillville,09/04/2013,11/04/2013,121,Nursing Care Facility
683,Strategic Resources Inc.,Edinburgh,09/03/2013,09/30/2013,207,Business Management Consultants
684,RoadLink Workforce Solutions,Shelbyville,08/12/2013,09/15/2013,119,Transportation and Warehousing Services
685,Kerry Inc.,Indianapolis,07/22/2013,10/01/2013,47,Flavoring concentrates (except coffee based) manufacturing
686,Allied Speciality Vehicles (formally Monaco),Wakarusa,07/17/2013,10/31/2013,16,Motor home manufacturing
687,"Cequent Performance Products, Inc",Huntington,07/01/2013,End of 2013,9,General Warehousing/Distribution and Storage
688,"Cequent Performance Products, Inc-Revised",Huntington,,,,
689,TsiCorp,Edinburgh,06/27/2013,08/30/2013,50,Logistics management consulting services
690,Unilever Ice Cream Manufacturing,Huntington,06/21/2013,09/30/2013,157,Ice Cream Manufacturing
691,Unilever Ice Cream Manufacturing-Revised,Huntington,,,,
692,Hartmann USA,Bloomington,05/15/2013,Mid-Year 2014,72,"Bandages and dressings, surgical and orthopedic, manufacturing"
693,SJC Industries Corp,Elkhart,05/07/2013,07/08/2013,165,Motor Vehicle Body Manufacturing
694,Warner Transitional Services,Indianapolis,05/07/2013,06/07/2013,112,"Self-help organizations for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities"
695,Warner Transitional Services-Revised,Indianapolis,,,,
696,ALSAC Volunteer Service Center,New Albany,04/29/2013,06/28/2013,64,Other Individual and Family Services
697,Blissfield Manufacturing Company Parent Company of Jay Products,Portland,04/29/2013,09/30/2013,61,"Transmissions and parts, automotive, truck, and bus, manufacturing"
698,"Lilly USA, LLC",Indianapolis,04/26/2013,07/15/2013,"1,624",Pharmaceutical Preparation Manufacturing
699,Meade Electric Company,Whiting,04/22/2013,06/28/2013,569,All Other Miscellaneous Electrical Equipment and Component Manufacturing
700,International Paper Company,Indianapolis,04/19/2013,06/19/2013,91,Corrugated & Solid Fiber Box Manufacturing
701,International Paper Company-Revised,Indianapolis,,,,
702,International Paper Company-Revised,Indianapolis,,,,
703,AM General Military Assembly Plant,Mishawaka,04/19/2013,12/30/2012,387,"Assembly plants, light trucks on chassis of own manufacture"
704,ADM Trucking Inc.,Mt. Vernon,04/17/2013,07/14/2013,20,"Trucking, general freight"
705,"Briljent, LLC",Indianapolis,03/27/2013,05/31/2013,100-130,Administrative Management and General Management Consulting Services
706,"Deufol Sunman, Inc",Sunman,03/22/2013,03/22/2013,138,Packaging Services
707,Monogram Food Solutions,Muncie,03/18/2013,05/18/2013,87,Food packaging manufacturing
708,U.S. Cellular Corporation,"Elkhart, Fort Wayne, Merrillville, Michigan City, Mishawaka, Portage, Schererville, South Bend",03/15/2013,05/17/2013,55,Wireless Telecommunications Carriers
709,U.S. Cellular Corporation-Revised,"Elkhart, Fort Wayne, Merrillville, Michigan City, Mishawaka, Portage, Schererville, South Bend",,,,
710,Pitney Bowes,Plainfield,03/04/2013,05/07/2013,137,Office Equip Merchant Whls
711,Pitney Bowes-Revised,Plainfield,,,,
712,Ficosa North America Corporation,Berne,03/04/2013,05/31/2013,137,Motor Vehicle Supplies and New Parts Wholesalers
713,Contech Castings LLC,Pierceton,02/21/2013,02/25/2013,80,Aluminum Die-Casting Foundries
714,Contech Castings LLC,Auburn,02/21/2013,02/25/2013,128,Aluminum Die-Casting Foundries
715,"Whitley Products, Inc",Plymouth,02/19/2013,04/22/2013,86,Fabricated Pipe & Pipe Fitting Manufacturing
716,Sencient Flavors,Indianapolis,02/07/2013,05/01/2013,125,Spice & Extract Mfg
717,"Hologic, Inc.",Indianapolis,01/15/2013,06/28/2013,140,Irradiation Apparatus Manufacturing
718,"Hologic, Inc.-Revised",Indianapolis,,,,
719,Suzuki Motor Company,Indianapolis,01/14/2013,03/14/2013,1,All Other Durable Goods Merchant Whls
720,Steel Parts Manufacturing Inc,Tipton,12/27/2012,03/14/2013,173,Fabricated Structural Metal Manufacturing
721,Steel Parts Manufacturing Inc-Revised,Tipton,,,,
722,Cequent Performance Products Inc.,Goshen,12/20/2012,02/22/2013,434,"Trailer hitches, motor vehicle, manufacturing"
723,"Arbor E&T, LLC dba ResCare Workforce Services",Indianapolis,12/06/2012,03/31/2013,117,Other Individual and Family Services
724,Vertafore,Indianapolis,11/26/2012,01/31/2013,23,Data Processing & Related Svcs
725,facadeTek,Whitestown,11/02/2012,01/02/2013,72,"Curtain Wall, Metal, Manufacturing"
726,"Diamond Foods, Inc",Fishers,10/25/2012,01/31/2013,100,Confectionery Mfg From Purchased Chocolate
727,Amsted Rail Inc,Hammond,10/15/2012,12/17/2012,94,Steel Foundries Except Investment
728,Amsted Rail Inc-Revised,Hammond,,,,
729,"Vantiv, LLC-Revised",Evansville,10/10/2012,03/01/2013,24,"Data Processing, Hosting, and  Related Services"
730,"Precision Cutoff, LLC",Franklin,09/26/2012,02/29/2013,39,Fabricated Pipe and Pipe Fitting Manufacturing
731,Whirlpool Corporation,Evansville,09/19/2012,year end 2014,217,Other Major Household Appliance Manufacturing
732,Whirlpool Corporation-Revised,Evansville,,,,
733,Ashland Hardware Systems,Lowell,09/14/2012,03/31/2013,66,All Other Plastics Product Manufacturing
734,Manitowoc Foodservice,Fort Wayne,09/07/2012,04/30/2013,235,Other Commercial and Service Industry Machinery Manufacturing
735,Manitowoc Foodservice-Revised,Fort Wayne,,,,
736,Peabody Energy,Vincennes,09/05/2012,02/28/2013,230,Bituminous Coal & Lignite Surface Mining
737,Peabody Energy-Revised,Vincennes,,,,
738,Peabody Energy-Revised,Vincennes,,,,
739,Peabody Energy-Revised,Vincennes,,,,
740,Peabody Energy-Revised,Vincennes,,,,
741,Peabody Energy-Revised,Vincennes,,,,
742,Peabody Energy-Revised,Vincennes,,,,
743,Jewel-Osco Store Enclosure,Michigan City,08/09/2012,10/08/2012,121,Supermarkets and Other Grocery (except Convenience) Stores
744,"Lipari Foods, LLC","Delphos, OH",07/12/2012,9/15/2012,9,Frozen Specialty Food Manufacturing
745,Federal Mogul,Michigan City,07/10/2012,4th Qtr 2012,96,"Gasket, Packing, and Sealing Device Manufacturing"
746,JC Penny - Store Support Center,Plainfield,06/29/2012,09/29/2012,176,Department Stores (except Discount Department Stores)
747,ARAMARK at GM,Marion,06/26/2012,08/1/2012,56,Janitorial Services
748,Comcast (cable),Fishers,06/22/2012,08/22/2012,59,Cable and Other Subscription Programming
749,Xanodyne Pharmaceuticals,"Evansville, Plainfield, and Indianapolis",06/21/2012,08/20/2012,3,Pharmaceutical Preparation Manufacturing
750,"JCIM, LLC",Kendallville,06/15/2012,08/31/2012,179,All Other Plastics Prod Manufacturing
751,"JCIM, LLC-Revised",Kendallville,,,,
752,"JCIM, LLC-Revised",Kendallville,,,,
753,Illinois Central School Bus,Gary,05/30/2012,08/15/2012,86,Charter Bus Industry
754,National Government Services,Indianapolis,05/22/2012,07/20/2012 - 09/28/12,112,All Other Insurance Related Activities
755,Ferry-Morse Seed Company,Fremont,05/21/2012,12/31/2012,5,Farm Supplies Merchant Whls
756,"Sunrise Publications, Inc.",Bloomington,05/15/2012,07/20/2012,93,"Cards, greeting, merchant wholesalers"
757,"Sunrise Publications, Inc.-Revised",Bloomington,,,,
758,Sony DADC US Inc.,Fishers,05/11/2012,07/15/2012,226,Record Production/Distribution
759,Lipari Foods,"Delphos, OH",05/08/2012,06/05/2012,175,Frozen Specialty Food Manufacturing
760,Hostess Brands-Revised,Statewide,05/04/2012,07/01/2012,856,Commercial Bakeries
761,Hostess Brands Notice for Anderson,Anderson,05/04/2012,07/02/2012,18,Commercial Bakeries
762,Hostess Brands Notice for Bloomington,Bloomington,05/04/2012,07/02/2012,16,Commercial Bakeries
763,Hostess Brands Notices for:3060 National Road3080 National Road930 Washington Street,Columbus,05/04/2012,07/02/2012,237,Commercial Bakeries
764,Hostess Brands Notice for Evansville,Evansville,05/04/2012,07/02/2012,14,Commercial Bakeries
765,Hostess Brands Notice for Fort Wayne,Fort Wayne,05/04/2012,07/02/2012,17,Commercial Bakeries
766,Hostess Brands Notice for Greenwood,Greenwood,05/04/2012,07/02/2012,29,Commercial Bakeries
767,Hostess Brands Notice for Hobart,Hobart,05/04/2012,07/02/2012,23,Commercial Bakeries
768,Hostess Brands Notices for:2801 Lafayette Road2929 North Shadeland3806 Madison Ave5353 West 10th Street9233 East 33rd Street,Indianapolis,05/04/2012,07/02/2012,340,Commercial Bakeries
769,Hostess Brands Notice for Jeffersonville,Jeffersonville,05/04/2012,07/02/2012,2,Commercial Bakeries
770,Hostess Brands Notice for Kokomo,Kokomo,05/04/2012,07/02/2012,18,Commercial Bakeries
771,Hostess Brands Notice for Lafayette,Lafayette,05/04/2012,07/02/2012,16,Commercial Bakeries
772,Hostess Brands Notice for Madison,Madison,05/04/2012,07/02/2012,12,Commercial Bakeries
773,Hostess Brands Notice for Merrillville,Merrillville,05/04/2012,07/02/2012,23,Commercial Bakeries
774,Hostess Brands Notice for Michigan City,Michigan City,05/04/2012,07/02/2012,4,Commercial Bakeries
775,Hostess Brands Notice for Munster,Munster,05/04/2012,07/02/2012,3,Commercial Bakeries
776,Hostess Brands Notice for Rushville,Rushville,05/04/2012,07/02/2012,16,Commercial Bakeries
777,Hostess Brands Notice for Scottsburg,Scottsburg,05/04/2012,07/02/2012,3,Commercial Bakeries
778,Hostess Brands Notice for South Bend,South Bend,05/04/2012,07/02/2012,25,Commercial Bakeries
779,Hostess Brands Notices for:425 Fort Harrison Road4429 US HWY 414443 South US HWY 41,Terre Haute,05/04/2012,07/02/2012,23,Commercial Bakeries
780,Hostess Brands Notice for Versailles,Versailles,05/04/2012,07/02/2012,3,Commercial Bakeries
781,Hostess Brands Notice for Vincennes,Merrillville,05/04/2012,07/02/2012,14,Commercial Bakeries
782,"Exopack, LLC",Seymour,05/02/2012,07/01/2012,111,Paperboard Mills
783,First Transit,Hammond,05/01/2012,06/30/2012,46,Interurban & Rural Bus Transportation
784,Arden Companies,Kendallville,04/27/2012,06/29/2012,46,Broad-Woven Fabric Mills
785,International Paper Company,Crawfordsville,04/26/2012,06/26/2012,57,Corrugated and Solid Fiber Box Manufacturing
786,"Aurora Bank FSB, Aurora Loan Services",Indianapolis,04/23/2012,07/07/2012,450,Federal Savings Bank
787,Integra Speciality Hospital,Muncie,04/19/2012,06/17/2012,72,General Medical & Surgical Hospitals
788,"Ross Sand Casting Industries, Inc. Plant 3",Winchester,03/27/2012,06/16/2012,51,Iron Foundries
789,"Ross Sand Casting Industries, Inc. Plant 3-Revised",Winchester,,,,
790,Indiana Developmental Training Center,Indianapolis,03/22/2012,05/25/2012,134,Other Individual & Family Svcs
791,CertainTeed Corporation,Terre Haute,02/24/2012,04/30/2012,53,Clay Refractory Manufacturing
792,"GasAmerica Services, Inc. Main Headquarters",Greenfield,02/20/2012,06/01/2012,65,"Service stations, gasoline"
793,Bon L Manufacturing Co.,Kentland,02/01/2012,04/03/2012,146,Aluminum Extruded Product Manufacturing
794,Bon L Manufacturing Co.-Revised,Kentland,,,,
795,Bon L Manufacturing Co.-Revised,Kentland,,,,
796,Bon L Manufacturing Co.-Revised,Kentland,,,,
797,Dominion/State Line Energy Station,Hammond,01/30/1202,03/31/2012,109,Electric Power Generation
798,MetLife,Indianapolis,01/27/2012,03/31/2012,56,Mortgage and Nonmortgage Loan Brokers
799,Kmart Store #7474,St. John,01/25/2012,04/08/2012,62,Discount Department Stores
800,Alverno Clinical Laboratories,Hammond,01/25/2012,04/22/2012,79,Medical and Diagnostic Laboratories
801,Kmart Store #4108,Portage,01/24/2012,04/08/2012,209,Discount Department Stores
802,AmeriQual Foods,Evansville,01/19/2012,01/12/2012,45,Prepared Food Manufacturing
803,Clondalkin Pharma & Healthcare,Evansville,12/16/2011,12/05/2011 and 01/09/2012,32,Offices of Other Holding Companies
804,Georgia Gulf Corporation (Royal Outdoor Products facility),Milford,12/14/2011,Mid February 2012,60,All Other Plastics Product Manufacturing
805,RCF Kitchens Indiana,Cambridge  City,11/28/2011,12/31/2011,131,Full-Service Restaurants
806,International Paper Company Shorewood Packaging,Indianapolis,11/22/2011,11/02/2011,78,Setup Paperboard Box Manufacturing
807,International Paper Company Shorewood Packaging-Revised,Indianapolis,,,,
808,Bayer HealthCare,Mishawaka,11/16/2011,01/15/2012,132,Misc Ambulatory Health Care Svcs
809,U.S Airways,Indianapolis,11/07/2011,01/09/2012,52,Scheduled Passenger Air Transportation
810,Best Buy,Franklin,11/03/2011,01/31/2012,223,Radio Tv & Other Electronics Stores
811,Fortis Plastics,South Bend,10/28/2011,12/23/2011,88,All Other Plastics Prod Manufacturing
812,Fortis Plastics-Corporate Offices,South Bend,,,,
813,Fortis Plastics-Revised Corporate,South Bend,,,,
814,Fortis Plastics-Revised Corporate,South Bend,,,,
815,Fortis Plastics-Manufacturing Facilities,South Bend,,,,
816,Fortis Plastics-Revised Manufacturing,South Bend,,,,
817,International Bedding Corporation,New Haven,10/21/2011,12/22/2011,73,Mattress Manufacturing
818,"Lawrenceburg Distillers Indiana, LLC",Lawrenceburg,10/21/2011,12/20/2011,176,Distilleries
819,Ford Motor Company,Indianapolis,10/20/2011,3rd Qtr 2012,163,Motor Vehicle Steering
820,Ford Motor Company-Revised,Indianapolis,,,,
821,Ford Motor Company-Revised,Indianapolis,,,,
822,Ford Motor Company-Revised,Indianapolis,,,,
823,Ford Motor Company-Revised,Indianapolis,,,,
